66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:29:20.0 (166102)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:29:20.0 (199610)|EXECUTION_STARTED
15:29:20.0 (213362)|CODE_UNIT_STARTED|[EXTERNAL]|JobCardsController
15:29:20.0 (236783)|SYSTEM_MODE_ENTER|true
15:29:20.0 (460431)|HEAP_ALLOCATE|[95]|Bytes:3
15:29:20.0 (516901)|HEAP_ALLOCATE|[100]|Bytes:152
15:29:20.0 (535995)|HEAP_ALLOCATE|[417]|Bytes:408
15:29:20.0 (551497)|HEAP_ALLOCATE|[430]|Bytes:408
15:29:20.0 (581656)|HEAP_ALLOCATE|[317]|Bytes:6
15:29:20.0 (1095469)|CODE_UNIT_FINISHED|JobCardsController
15:29:20.0 (1109960)|EXECUTION_FINISHED
