66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:23:28.2 (2515876)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:23:28.2 (2596200)|EXECUTION_STARTED
18:23:28.2 (2627288)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
18:23:28.2 (4486778)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
18:23:28.2 (7609343)|HEAP_ALLOCATE|[95]|Bytes:3
18:23:28.2 (7793616)|HEAP_ALLOCATE|[100]|Bytes:152
18:23:28.2 (7819081)|HEAP_ALLOCATE|[417]|Bytes:408
18:23:28.2 (7836615)|HEAP_ALLOCATE|[430]|Bytes:408
18:23:28.2 (7865169)|HEAP_ALLOCATE|[317]|Bytes:6
18:23:28.2 (7964512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:23:28.2 (7969537)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
18:23:28.2 (7972338)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:23:28.2 (7993257)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
18:23:28.2 (8007566)|STATEMENT_EXECUTE|[6]
18:23:28.2 (8019187)|STATEMENT_EXECUTE|[6]
18:23:28.2 (8046435)|HEAP_ALLOCATE|[68]|Bytes:5
18:23:28.2 (8092687)|HEAP_ALLOCATE|[74]|Bytes:5
18:23:28.2 (8097926)|HEAP_ALLOCATE|[82]|Bytes:7
18:23:28.2 (8728963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:23:28.2 (8743332)|STATEMENT_EXECUTE|[11]
18:23:28.2 (8763393)|METHOD_EXIT|[6]|JobSearchController
18:23:28.2 (8786965)|HEAP_ALLOCATE|[203]|Bytes:5
18:23:28.2 (8789832)|STATEMENT_EXECUTE|[202]
18:23:28.2 (8790740)|STATEMENT_EXECUTE|[203]
18:23:28.2 (8817422)|HEAP_ALLOCATE|[203]|Bytes:4
18:23:28.2 (8839503)|HEAP_ALLOCATE|[204]|Bytes:13
18:23:28.2 (8875082)|METHOD_ENTRY|[204]|01pBK000001SmE1|JobSearchController.getJobCategories()
18:23:28.2 (8919178)|HEAP_ALLOCATE|[218]|Bytes:5
18:23:28.2 (8922155)|STATEMENT_EXECUTE|[217]
18:23:28.2 (8923567)|STATEMENT_EXECUTE|[218]
18:23:28.2 (8978841)|HEAP_ALLOCATE|[218]|Bytes:4
18:23:28.2 (9054157)|VARIABLE_SCOPE_BEGIN|[218]|categories|List<Map<String,String>>|true|false
18:23:28.2 (9115121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:23:28.2 (9183160)|VARIABLE_ASSIGNMENT|[218]|categories|[]|0x52b8cb3a
18:23:28.2 (9188717)|HEAP_ALLOCATE|[219]|Bytes:215
18:23:28.2 (9195260)|HEAP_ALLOCATE|[219]|Bytes:4
18:23:28.2 (12744040)|SOQL_EXECUTE_BEGIN|[219]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
18:23:28.2 (37096706)|SOQL_EXECUTE_END|[219]|Rows:51
18:23:28.2 (37172838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
18:23:28.2 (37690426)|HEAP_ALLOCATE|[219]|Bytes:54
18:23:28.2 (37708163)|HEAP_ALLOCATE|[219]|Bytes:8
18:23:28.2 (37731173)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
