66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:15:04.0 (236682)|USER_INFO|[EXTERNAL]|005BK00000Ilvi1|foryoze@owleyes.ch.hurex|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
10:15:04.0 (313682)|EXECUTION_STARTED
10:15:04.0 (337239)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
10:15:04.0 (1230221)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
10:15:04.0 (1420563)|HEAP_ALLOCATE|[95]|Bytes:3
10:15:04.0 (1495945)|HEAP_ALLOCATE|[100]|Bytes:152
10:15:04.0 (1511099)|HEAP_ALLOCATE|[417]|Bytes:408
10:15:04.0 (1522968)|HEAP_ALLOCATE|[430]|Bytes:408
10:15:04.0 (1541885)|HEAP_ALLOCATE|[317]|Bytes:6
10:15:04.0 (1553194)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:15:04.0 (1556683)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
10:15:04.0 (1566809)|METHOD_ENTRY|[5]|01pBK000001SmE1|JobSearchController.JobSearchController()
10:15:04.0 (1571505)|STATEMENT_EXECUTE|[5]
10:15:04.0 (1575009)|STATEMENT_EXECUTE|[5]
10:15:04.0 (1590201)|HEAP_ALLOCATE|[68]|Bytes:5
10:15:04.0 (1607793)|HEAP_ALLOCATE|[74]|Bytes:5
10:15:04.0 (1612296)|HEAP_ALLOCATE|[82]|Bytes:7
10:15:04.0 (1626309)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:15:04.0 (1629176)|STATEMENT_EXECUTE|[7]
10:15:04.0 (1635780)|METHOD_EXIT|[5]|JobSearchController
10:15:04.0 (1643181)|HEAP_ALLOCATE|[137]|Bytes:5
10:15:04.0 (1645576)|STATEMENT_EXECUTE|[136]
10:15:04.0 (1646615)|STATEMENT_EXECUTE|[137]
10:15:04.0 (1659508)|HEAP_ALLOCATE|[137]|Bytes:4
10:15:04.0 (1668125)|HEAP_ALLOCATE|[138]|Bytes:13
10:15:04.0 (1676076)|METHOD_ENTRY|[138]|01pBK000001SmE1|JobSearchController.getJobCategories()
10:15:04.0 (1698976)|HEAP_ALLOCATE|[147]|Bytes:5
10:15:04.0 (1701466)|STATEMENT_EXECUTE|[146]
10:15:04.0 (1702319)|STATEMENT_EXECUTE|[147]
10:15:04.0 (1713695)|HEAP_ALLOCATE|[147]|Bytes:4
10:15:04.0 (1772440)|VARIABLE_SCOPE_BEGIN|[147]|categories|List<Map<String,String>>|true|false
10:15:04.0 (1816322)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:15:04.0 (1851616)|VARIABLE_ASSIGNMENT|[147]|categories|[]|0x62101881
10:15:04.0 (1856934)|HEAP_ALLOCATE|[148]|Bytes:215
10:15:04.0 (1862350)|HEAP_ALLOCATE|[148]|Bytes:4
10:15:04.0 (2342655)|SOQL_EXECUTE_BEGIN|[148]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
10:15:04.0 (48857822)|SOQL_EXECUTE_END|[148]|Rows:51
10:15:04.0 (48906995)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
10:15:04.0 (49154929)|HEAP_ALLOCATE|[148]|Bytes:54
10:15:04.0 (49162726)|HEAP_ALLOCATE|[148]|Bytes:8
10:15:04.0 (49177688)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
10:15:04.0 (49181398)|STATEMENT_EXECUTE|[7]
10:15:04.0 (49193094)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
10:15:04.0 (49201283)|HEAP_ALLOCATE|[148]|Bytes:28
10:15:04.0 (49291123)|HEAP_ALLOCATE|[148]|Bytes:208
10:15:04.0 (49300927)|HEAP_ALLOCATE|[148]|Bytes:8
10:15:04.0 (49302756)|HEAP_ALLOCATE|[148]|Bytes:8
10:15:04.0 (49307647)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
10:15:04.0 (49359051)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x424c843f
10:15:04.0 (49363078)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
10:15:04.0 (49377231)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x7d794dd4
10:15:04.0 (49380734)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
10:15:04.0 (49402396)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x23531660
10:15:04.0 (49405968)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
10:15:04.0 (49413027)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
10:15:04.0 (49415431)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
10:15:04.0 (49419442)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
10:15:04.0 (52095829)|HEAP_ALLOCATE|[148]|Bytes:28
10:15:04.0 (52131619)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:15:04.0 (52224978)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
