66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:09:01.2 (2204723)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:09:01.2 (2238600)|EXECUTION_STARTED
18:09:01.2 (2248536)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
18:09:01.2 (3833891)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
18:09:01.2 (4227321)|HEAP_ALLOCATE|[95]|Bytes:3
18:09:01.2 (4320770)|HEAP_ALLOCATE|[100]|Bytes:152
18:09:01.2 (4333710)|HEAP_ALLOCATE|[417]|Bytes:408
18:09:01.2 (4344845)|HEAP_ALLOCATE|[430]|Bytes:408
18:09:01.2 (4364928)|HEAP_ALLOCATE|[317]|Bytes:6
18:09:01.2 (4374978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:09:01.2 (4377902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
18:09:01.2 (4379931)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:09:01.2 (4396149)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
18:09:01.2 (4407170)|STATEMENT_EXECUTE|[6]
18:09:01.2 (4413770)|STATEMENT_EXECUTE|[6]
18:09:01.2 (4430988)|HEAP_ALLOCATE|[68]|Bytes:5
18:09:01.2 (4462058)|HEAP_ALLOCATE|[74]|Bytes:5
18:09:01.2 (4466960)|HEAP_ALLOCATE|[82]|Bytes:7
18:09:01.2 (4768583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:09:01.2 (4775663)|STATEMENT_EXECUTE|[11]
18:09:01.2 (4787575)|METHOD_EXIT|[6]|JobSearchController
18:09:01.2 (4798875)|HEAP_ALLOCATE|[203]|Bytes:5
18:09:01.2 (4801500)|STATEMENT_EXECUTE|[202]
18:09:01.2 (4802895)|STATEMENT_EXECUTE|[203]
18:09:01.2 (4813326)|HEAP_ALLOCATE|[203]|Bytes:4
18:09:01.2 (4825256)|HEAP_ALLOCATE|[204]|Bytes:13
18:09:01.2 (4854371)|METHOD_ENTRY|[204]|01pBK000001SmE1|JobSearchController.getJobCategories()
18:09:01.2 (4909885)|HEAP_ALLOCATE|[218]|Bytes:5
18:09:01.2 (4912943)|STATEMENT_EXECUTE|[217]
18:09:01.2 (4913921)|STATEMENT_EXECUTE|[218]
18:09:01.2 (4924783)|HEAP_ALLOCATE|[218]|Bytes:4
18:09:01.2 (4977430)|VARIABLE_SCOPE_BEGIN|[218]|categories|List<Map<String,String>>|true|false
18:09:01.2 (5014127)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:09:01.2 (5058960)|VARIABLE_ASSIGNMENT|[218]|categories|[]|0x6924c295
18:09:01.2 (5063965)|HEAP_ALLOCATE|[219]|Bytes:215
18:09:01.2 (5068815)|HEAP_ALLOCATE|[219]|Bytes:4
18:09:01.2 (8059939)|SOQL_EXECUTE_BEGIN|[219]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
18:09:01.2 (30298396)|SOQL_EXECUTE_END|[219]|Rows:51
18:09:01.2 (30338351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
18:09:01.2 (30555837)|HEAP_ALLOCATE|[219]|Bytes:54
18:09:01.2 (30564064)|HEAP_ALLOCATE|[219]|Bytes:8
18:09:01.2 (30574330)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
18:09:01.2 (30577405)|STATEMENT_EXECUTE|[7]
18:09:01.2 (30586460)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
18:09:01.2 (30591861)|HEAP_ALLOCATE|[219]|Bytes:28
18:09:01.2 (30655522)|HEAP_ALLOCATE|[219]|Bytes:208
18:09:01.2 (30663814)|HEAP_ALLOCATE|[219]|Bytes:8
18:09:01.2 (30665572)|HEAP_ALLOCATE|[219]|Bytes:8
18:09:01.2 (30672944)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
18:09:01.2 (30731371)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x28291538
18:09:01.2 (30734714)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
18:09:01.2 (30748531)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x2d43427f
18:09:01.2 (30751746)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
18:09:01.2 (30769364)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x18de7d9d
18:09:01.2 (30772539)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
18:09:01.2 (30778995)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
18:09:01.2 (30781129)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
18:09:01.2 (30784779)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
18:09:01.2 (34431505)|HEAP_ALLOCATE|[219]|Bytes:28
18:09:01.2 (34484018)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
18:09:01.2 (34705809)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
18:09:01.2 (34711748)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
18:09:01.2 (34791528)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
18:09:01.2 (34797663)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
18:09:01.2 (34886420)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0x70194d2c
18:09:01.2 (34893951)|STATEMENT_EXECUTE|[225]
18:09:01.2 (34895059)|STATEMENT_EXECUTE|[226]
18:09:01.2 (34909259)|HEAP_ALLOCATE|[226]|Bytes:4
18:09:01.2 (34919130)|HEAP_ALLOCATE|[227]|Bytes:15
18:09:01.2 (35002520)|HEAP_ALLOCATE|[227]|Bytes:3
18:09:01.2 (35032065)|HEAP_ALLOCATE|[228]|Bytes:21
18:09:01.2 (35044669)|HEAP_ALLOCATE|[228]|Bytes:6
18:09:01.2 (35064354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:09:01.2 (35071139)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
18:09:01.2 (35082327)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
18:09:01.2 (35085199)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
18:09:01.2 (35112059)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
18:09:01.2 (35115199)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
18:09:01.2 (35129868)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(個人)","JobCategory1__c":"営業系"}|0x4300e527
18:09:01.2 (35133914)|STATEMENT_EXECUTE|[225]
18:09:01.2 (35134778)|STATEMENT_EXECUTE|[226]
18:09:01.2 (35138988)|HEAP_ALLOCATE|[226]|Bytes:4
18:09:01.2 (35149128)|HEAP_ALLOCATE|[227]|Bytes:3
18:09:01.2 (35160441)|HEAP_ALLOCATE|[228]|Bytes:6
18:09:01.2 (35168897)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
