66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:23:12.0 (137178)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
11:23:12.0 (172382)|EXECUTION_STARTED
11:23:12.0 (183318)|CODE_UNIT_STARTED|[EXTERNAL]|JobCardsController
11:23:12.0 (209166)|SYSTEM_MODE_ENTER|true
11:23:12.0 (399291)|HEAP_ALLOCATE|[95]|Bytes:3
11:23:12.0 (471343)|HEAP_ALLOCATE|[100]|Bytes:152
11:23:12.0 (486098)|HEAP_ALLOCATE|[417]|Bytes:408
11:23:12.0 (496581)|HEAP_ALLOCATE|[430]|Bytes:408
11:23:12.0 (516457)|HEAP_ALLOCATE|[317]|Bytes:6
11:23:12.0 (889188)|CODE_UNIT_FINISHED|JobCardsController
11:23:12.0 (897637)|EXECUTION_FINISHED
