66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:49:39.2 (2190553)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
16:49:39.2 (2232393)|EXECUTION_STARTED
16:49:39.2 (2244097)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001lKfR|PORTERS_BATCH_ResumeData
16:49:39.2 (4871099)|HEAP_ALLOCATE|[95]|Bytes:3
16:49:39.2 (4949027)|HEAP_ALLOCATE|[100]|Bytes:152
16:49:39.2 (4965211)|HEAP_ALLOCATE|[417]|Bytes:408
16:49:39.2 (4977199)|HEAP_ALLOCATE|[430]|Bytes:408
16:49:39.2 (4997812)|HEAP_ALLOCATE|[317]|Bytes:6
16:49:39.2 (7087430)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:80
16:49:39.2 (48873578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:49:39.2 (48911820)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:49:39.2 (48917110)|STATEMENT_EXECUTE|[15]
16:49:39.2 (48932781)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:49:39.2 (48940093)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:49:39.2 (48943368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:49:39.2 (48948934)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
16:49:39.2 (49021182)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x57d5f2f5
16:49:39.2 (49025500)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
16:49:39.2 (49141567)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wq09yYAA"
16:49:39.2 (49145803)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
16:49:39.2 (49151845)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
16:49:39.2 (52371235)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:65
16:49:39.2 (52402667)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:49:39.2 (52413724)|METHOD_ENTRY|[1]|01pBK000001lKfR|PORTERS_BATCH_ResumeData.PORTERS_BATCH_ResumeData()
16:49:39.2 (52418639)|STATEMENT_EXECUTE|[1]
16:49:39.2 (52423247)|STATEMENT_EXECUTE|[1]
16:49:39.2 (52427342)|METHOD_EXIT|[1]|PORTERS_BATCH_ResumeData
16:49:39.2 (52430727)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
16:49:39.2 (52432766)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:49:39.2 (52438045)|VARIABLE_SCOPE_BEGIN|[12]|this|PORTERS_BATCH_ResumeData|true|false
16:49:39.2 (52500524)|VARIABLE_ASSIGNMENT|[12]|this|{"lastSyncTime":"2026-04-02T06:15:55.000Z","pageSize":2000}|0x178860c
16:49:39.2 (52504686)|VARIABLE_SCOPE_BEGIN|[12]|bc|Database.BatchableContext|true|false
16:49:39.2 (52564823)|VARIABLE_ASSIGNMENT|[12]|bc|{"jobId":"707BK00000wq09yYAA"}|0x57d5f2f5
16:49:39.2 (52573390)|STATEMENT_EXECUTE|[12]
