66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:19:26.2 (2387138)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:19:26.2 (2428095)|EXECUTION_STARTED
15:19:26.2 (2437730)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
15:19:26.2 (4040942)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
15:19:26.2 (8174805)|HEAP_ALLOCATE|[95]|Bytes:3
15:19:26.2 (8275381)|HEAP_ALLOCATE|[100]|Bytes:152
15:19:26.2 (8290970)|HEAP_ALLOCATE|[417]|Bytes:408
15:19:26.2 (8302881)|HEAP_ALLOCATE|[430]|Bytes:408
15:19:26.2 (8322848)|HEAP_ALLOCATE|[317]|Bytes:6
15:19:26.2 (8332942)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:19:26.2 (8336459)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:19:26.2 (8338445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:19:26.2 (8350374)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
15:19:26.2 (8356858)|STATEMENT_EXECUTE|[6]
15:19:26.2 (8361392)|STATEMENT_EXECUTE|[6]
15:19:26.2 (8381549)|HEAP_ALLOCATE|[68]|Bytes:5
15:19:26.2 (8404714)|HEAP_ALLOCATE|[74]|Bytes:5
15:19:26.2 (8409280)|HEAP_ALLOCATE|[82]|Bytes:7
15:19:26.2 (8682916)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:19:26.2 (8688350)|STATEMENT_EXECUTE|[11]
15:19:26.2 (8699155)|METHOD_EXIT|[6]|JobSearchController
15:19:26.2 (8710744)|HEAP_ALLOCATE|[203]|Bytes:5
15:19:26.2 (8713380)|STATEMENT_EXECUTE|[202]
15:19:26.2 (8714437)|STATEMENT_EXECUTE|[203]
15:19:26.2 (8731135)|HEAP_ALLOCATE|[203]|Bytes:4
15:19:26.2 (8774042)|HEAP_ALLOCATE|[204]|Bytes:13
15:19:26.2 (8788358)|METHOD_ENTRY|[204]|01pBK000001SmE1|JobSearchController.getJobCategories()
15:19:26.2 (8848318)|HEAP_ALLOCATE|[218]|Bytes:5
15:19:26.2 (8851062)|STATEMENT_EXECUTE|[217]
15:19:26.2 (8851923)|STATEMENT_EXECUTE|[218]
15:19:26.2 (8863914)|HEAP_ALLOCATE|[218]|Bytes:4
15:19:26.2 (8891984)|VARIABLE_SCOPE_BEGIN|[218]|categories|List<Map<String,String>>|true|false
15:19:26.2 (8936120)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:26.2 (8972025)|VARIABLE_ASSIGNMENT|[218]|categories|[]|0x24cf8f66
15:19:26.2 (8977123)|HEAP_ALLOCATE|[219]|Bytes:215
15:19:26.2 (8981459)|HEAP_ALLOCATE|[219]|Bytes:4
15:19:26.2 (11258924)|SOQL_EXECUTE_BEGIN|[219]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
15:19:26.2 (58349327)|SOQL_EXECUTE_END|[219]|Rows:51
15:19:26.2 (58392555)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
15:19:26.2 (58641903)|HEAP_ALLOCATE|[219]|Bytes:54
15:19:26.2 (58649835)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:26.2 (58664323)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
15:19:26.2 (58667297)|STATEMENT_EXECUTE|[7]
15:19:26.2 (58678358)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
15:19:26.2 (58686596)|HEAP_ALLOCATE|[219]|Bytes:28
15:19:26.2 (58763836)|HEAP_ALLOCATE|[219]|Bytes:208
15:19:26.2 (58771898)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:26.2 (58773683)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:26.2 (58779120)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
15:19:26.2 (58824204)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x4dfa3e75
15:19:26.2 (58827803)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
15:19:26.2 (58842484)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x7202e07d
15:19:26.2 (58845702)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
15:19:26.2 (58860679)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x699cdab0
15:19:26.2 (58863509)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
15:19:26.2 (58869443)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
15:19:26.2 (58871626)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
15:19:26.2 (58875005)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
15:19:26.2 (61425930)|HEAP_ALLOCATE|[219]|Bytes:28
15:19:26.2 (61470220)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (61565049)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (61570682)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (61649660)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (61656418)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
15:19:26.2 (61751726)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0x24454106
15:19:26.2 (61762178)|STATEMENT_EXECUTE|[225]
15:19:26.2 (61763596)|STATEMENT_EXECUTE|[226]
15:19:26.2 (61787067)|HEAP_ALLOCATE|[226]|Bytes:4
15:19:26.2 (61799853)|HEAP_ALLOCATE|[227]|Bytes:15
15:19:26.2 (61883591)|HEAP_ALLOCATE|[227]|Bytes:3
15:19:26.2 (61912367)|HEAP_ALLOCATE|[228]|Bytes:21
15:19:26.2 (61924413)|HEAP_ALLOCATE|[228]|Bytes:6
15:19:26.2 (61942930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:26.2 (61950169)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (61961351)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (61963998)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (61990762)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (61993813)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
15:19:26.2 (62010222)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(個人)","JobCategory1__c":"営業系"}|0x15477d67
15:19:26.2 (62014862)|STATEMENT_EXECUTE|[225]
15:19:26.2 (62015868)|STATEMENT_EXECUTE|[226]
15:19:26.2 (62020467)|HEAP_ALLOCATE|[226]|Bytes:4
15:19:26.2 (62030476)|HEAP_ALLOCATE|[227]|Bytes:3
15:19:26.2 (62041729)|HEAP_ALLOCATE|[228]|Bytes:6
15:19:26.2 (62049708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:26.2 (62053846)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (62062377)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (62064713)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (62085393)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (62087938)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
15:19:26.2 (62098963)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"代理店営業","JobCategory1__c":"営業系"}|0x24c639dd
15:19:26.2 (62102618)|STATEMENT_EXECUTE|[225]
15:19:26.2 (62103471)|STATEMENT_EXECUTE|[226]
15:19:26.2 (62106088)|HEAP_ALLOCATE|[226]|Bytes:4
15:19:26.2 (62113292)|HEAP_ALLOCATE|[227]|Bytes:3
15:19:26.2 (62123100)|HEAP_ALLOCATE|[228]|Bytes:5
15:19:26.2 (62130893)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:26.2 (62134781)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (62144066)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
15:19:26.2 (62147313)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (62172423)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
15:19:26.2 (62174793)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
15:19:26.2 (62185192)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"プリセールス・営業支援","JobCategory1__c":"営業系"}|0x14005804
15:19:26.2 (62188458)|STATEMENT_EXECUTE|[225]
15:19:26.2 (62189263)|STATEMENT_EXECUTE|[226]
15:19:26.2 (62191693)|HEAP_ALLOCATE|[226]|Bytes:4
15:19:26.2 (62198884)|HEAP_ALLOCATE|[227]|Bytes:3
15:19:26.2 (62208871)|HEAP_ALLOCATE|[228]|Bytes:11
15:19:26.2 (62216412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:26.2 (62220145)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
