66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:16:41.0 (183652)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:16:41.0 (219587)|EXECUTION_STARTED
18:16:41.0 (231269)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$getPrefecturePicklistValues
18:16:41.0 (2426342)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.getPrefecturePicklistValues()
18:16:41.0 (2700186)|HEAP_ALLOCATE|[95]|Bytes:3
18:16:41.0 (2771548)|HEAP_ALLOCATE|[100]|Bytes:152
18:16:41.0 (2784557)|HEAP_ALLOCATE|[417]|Bytes:408
18:16:41.0 (2795459)|HEAP_ALLOCATE|[430]|Bytes:408
18:16:41.0 (2814188)|HEAP_ALLOCATE|[317]|Bytes:6
18:16:41.0 (2824160)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
18:16:41.0 (2827123)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
18:16:41.0 (2828853)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
18:16:41.0 (2837458)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
18:16:41.0 (2842178)|STATEMENT_EXECUTE|[5]
18:16:41.0 (2848287)|STATEMENT_EXECUTE|[5]
18:16:41.0 (2864616)|HEAP_ALLOCATE|[68]|Bytes:5
18:16:41.0 (2884156)|HEAP_ALLOCATE|[74]|Bytes:5
18:16:41.0 (2888762)|HEAP_ALLOCATE|[82]|Bytes:7
18:16:41.0 (3051428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:16:41.0 (3059409)|STATEMENT_EXECUTE|[7]
18:16:41.0 (3070634)|METHOD_EXIT|[5]|RegistrationInfoController
18:16:41.0 (3085325)|HEAP_ALLOCATE|[100]|Bytes:5
18:16:41.0 (3089024)|STATEMENT_EXECUTE|[99]
18:16:41.0 (3090508)|STATEMENT_EXECUTE|[100]
18:16:41.0 (3092535)|HEAP_ALLOCATE|[100]|Bytes:7
18:16:41.0 (3096118)|HEAP_ALLOCATE|[100]|Bytes:7
18:16:41.0 (3523214)|HEAP_ALLOCATE|[100]|Bytes:7
18:16:41.0 (3552843)|METHOD_ENTRY|[100]|01pBK000001mgyr|RegistrationInfoController.getPicklistValuesWithEmpty(Schema.SObjectField, String)
18:16:41.0 (3583954)|VARIABLE_SCOPE_BEGIN|[113]|field|Schema.SObjectField|true|false
18:16:41.0 (3784383)|VARIABLE_ASSIGNMENT|[113]|field|"common.apex.runtime.impl.ApexFieldToken@2a4be2cf"|0x2a4be2cf
18:16:41.0 (3792009)|VARIABLE_SCOPE_BEGIN|[113]|emptyLabel|String|false|false
18:16:41.0 (3802155)|VARIABLE_ASSIGNMENT|[113]|emptyLabel|"都道府県を選択"
18:16:41.0 (3816633)|HEAP_ALLOCATE|[114]|Bytes:5
18:16:41.0 (3821640)|STATEMENT_EXECUTE|[113]
18:16:41.0 (3823090)|STATEMENT_EXECUTE|[114]
18:16:41.0 (3846132)|HEAP_ALLOCATE|[114]|Bytes:4
18:16:41.0 (3887363)|VARIABLE_SCOPE_BEGIN|[114]|options|List<Map<String,String>>|true|false
18:16:41.0 (3931160)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (3942470)|VARIABLE_ASSIGNMENT|[114]|options|[]|0x6a605db4
18:16:41.0 (3947263)|STATEMENT_EXECUTE|[115]
18:16:41.0 (3959142)|HEAP_ALLOCATE|[115]|Bytes:4
18:16:41.0 (3968758)|VARIABLE_SCOPE_BEGIN|[115]|emptyOption|Map<String,String>|true|false
18:16:41.0 (3984328)|VARIABLE_ASSIGNMENT|[115]|emptyOption|{}|0x4951973b
18:16:41.0 (3988363)|STATEMENT_EXECUTE|[116]
18:16:41.0 (3991918)|HEAP_ALLOCATE|[116]|Bytes:5
18:16:41.0 (4042024)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (4052190)|STATEMENT_EXECUTE|[117]
18:16:41.0 (4054620)|HEAP_ALLOCATE|[117]|Bytes:5
18:16:41.0 (4070130)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (4074242)|STATEMENT_EXECUTE|[118]
18:16:41.0 (4088324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (4091836)|STATEMENT_EXECUTE|[120]
18:16:41.0 (4092732)|STATEMENT_EXECUTE|[120]
18:16:41.0 (4093633)|STATEMENT_EXECUTE|[121]
18:16:41.0 (4139203)|SYSTEM_MODE_ENTER|true
18:16:41.0 (14693574)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (14788983)|HEAP_ALLOCATE|[121]|Bytes:8
18:16:41.0 (14863271)|VARIABLE_SCOPE_BEGIN|[121]|fieldResult|Schema.DescribeFieldResult|true|false
18:16:41.0 (17103777)|VARIABLE_ASSIGNMENT|[121]|fieldResult|"common.api.soap.wsdl.Field@b778053c"|0x317ad612
18:16:41.0 (17171927)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:192
18:16:41.0 (17236235)|HEAP_ALLOCATE|[122]|Bytes:192
18:16:41.0 (17425871)|HEAP_ALLOCATE|[122]|Bytes:5
18:16:41.0 (17447165)|HEAP_ALLOCATE|[122]|Bytes:4
18:16:41.0 (17455879)|VARIABLE_SCOPE_BEGIN|[122]|entry|Schema.PicklistEntry|true|false
18:16:41.0 (17481802)|VARIABLE_ASSIGNMENT|[122]|entry|北海道|0x92f0b8
18:16:41.0 (17491154)|STATEMENT_EXECUTE|[122]
18:16:41.0 (17492891)|STATEMENT_EXECUTE|[123]
18:16:41.0 (17507563)|HEAP_ALLOCATE|[123]|Bytes:4
18:16:41.0 (17518071)|VARIABLE_SCOPE_BEGIN|[123]|option|Map<String,String>|true|false
18:16:41.0 (17532699)|VARIABLE_ASSIGNMENT|[123]|option|{}|0x673f7cfe
18:16:41.0 (17536775)|STATEMENT_EXECUTE|[124]
18:16:41.0 (17553645)|HEAP_ALLOCATE|[124]|Bytes:3
18:16:41.0 (17597078)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17603630)|STATEMENT_EXECUTE|[125]
18:16:41.0 (17612481)|HEAP_ALLOCATE|[125]|Bytes:3
18:16:41.0 (17627525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17631856)|STATEMENT_EXECUTE|[126]
18:16:41.0 (17650230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (17661207)|HEAP_ALLOCATE|[122]|Bytes:5
18:16:41.0 (17670051)|HEAP_ALLOCATE|[122]|Bytes:4
18:16:41.0 (17674864)|VARIABLE_SCOPE_BEGIN|[122]|entry|Schema.PicklistEntry|true|false
18:16:41.0 (17685130)|VARIABLE_ASSIGNMENT|[122]|entry|青森県|0xba80411
18:16:41.0 (17691259)|STATEMENT_EXECUTE|[122]
18:16:41.0 (17692903)|STATEMENT_EXECUTE|[123]
18:16:41.0 (17699032)|HEAP_ALLOCATE|[123]|Bytes:4
18:16:41.0 (17703540)|VARIABLE_SCOPE_BEGIN|[123]|option|Map<String,String>|true|false
18:16:41.0 (17712528)|VARIABLE_ASSIGNMENT|[123]|option|{}|0x5f031c0e
18:16:41.0 (17716807)|STATEMENT_EXECUTE|[124]
18:16:41.0 (17720500)|HEAP_ALLOCATE|[124]|Bytes:3
18:16:41.0 (17726822)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17731026)|STATEMENT_EXECUTE|[125]
18:16:41.0 (17734140)|HEAP_ALLOCATE|[125]|Bytes:3
18:16:41.0 (17738491)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17742093)|STATEMENT_EXECUTE|[126]
18:16:41.0 (17746674)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (17755074)|HEAP_ALLOCATE|[122]|Bytes:5
18:16:41.0 (17762119)|HEAP_ALLOCATE|[122]|Bytes:4
18:16:41.0 (17766489)|VARIABLE_SCOPE_BEGIN|[122]|entry|Schema.PicklistEntry|true|false
18:16:41.0 (17774720)|VARIABLE_ASSIGNMENT|[122]|entry|岩手県|0x48833066
18:16:41.0 (17779403)|STATEMENT_EXECUTE|[122]
18:16:41.0 (17780323)|STATEMENT_EXECUTE|[123]
18:16:41.0 (17784803)|HEAP_ALLOCATE|[123]|Bytes:4
18:16:41.0 (17788712)|VARIABLE_SCOPE_BEGIN|[123]|option|Map<String,String>|true|false
18:16:41.0 (17796068)|VARIABLE_ASSIGNMENT|[123]|option|{}|0x54c77d04
18:16:41.0 (17799752)|STATEMENT_EXECUTE|[124]
18:16:41.0 (17802775)|HEAP_ALLOCATE|[124]|Bytes:3
18:16:41.0 (17808863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17812671)|STATEMENT_EXECUTE|[125]
18:16:41.0 (17815115)|HEAP_ALLOCATE|[125]|Bytes:3
18:16:41.0 (17819116)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:16:41.0 (17822646)|STATEMENT_EXECUTE|[126]
18:16:41.0 (17825930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:41.0 (17832764)|HEAP_ALLOCATE|[122]|Bytes:5
18:16:41.0 (17838774)|HEAP_ALLOCATE|[122]|Bytes:4
18:16:41.0 (17842591)|VARIABLE_SCOPE_BEGIN|[122]|entry|Schema.PicklistEntry|true|false
18:16:41.0 (17850362)|VARIABLE_ASSIGNMENT|[122]|entry|宮城県|0x1f047301
18:16:41.0 (17854854)|STATEMENT_EXECUTE|[122]
18:16:41.0 (17855934)|STATEMENT_EXECUTE|[123]
