66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:40:23.0 (895393)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:40:23.0 (954229)|EXECUTION_STARTED
17:40:23.0 (970536)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getJobs
17:40:23.0 (3509200)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:23.0 (3582356)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:23.0 (3598161)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:23.0 (4411635)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getJobs(Map<String,ANY>)
17:40:23.0 (5102288)|HEAP_ALLOCATE|[95]|Bytes:3
17:40:23.0 (5174606)|HEAP_ALLOCATE|[100]|Bytes:152
17:40:23.0 (5193701)|HEAP_ALLOCATE|[417]|Bytes:408
17:40:23.0 (5212616)|HEAP_ALLOCATE|[430]|Bytes:408
17:40:23.0 (5243634)|HEAP_ALLOCATE|[317]|Bytes:6
17:40:23.0 (5256717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:40:23.0 (5261281)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
17:40:23.0 (5264354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:40:23.0 (5284481)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
17:40:23.0 (5295408)|STATEMENT_EXECUTE|[6]
17:40:23.0 (5302559)|STATEMENT_EXECUTE|[6]
17:40:23.0 (5327673)|HEAP_ALLOCATE|[68]|Bytes:5
17:40:23.0 (5368127)|HEAP_ALLOCATE|[74]|Bytes:5
17:40:23.0 (5374846)|HEAP_ALLOCATE|[82]|Bytes:7
17:40:23.0 (5836917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:40:23.0 (5851266)|STATEMENT_EXECUTE|[11]
17:40:23.0 (5871126)|METHOD_EXIT|[6]|JobSearchController
17:40:23.0 (5906275)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
17:40:23.0 (5932136)|VARIABLE_SCOPE_BEGIN|[39]|filters|Map<String,ANY>|true|false
17:40:23.0 (6010795)|VARIABLE_ASSIGNMENT|[39]|filters|"Map of size 8 too large to display"|0x67d78d40
17:40:23.0 (6033700)|HEAP_ALLOCATE|[41]|Bytes:5
17:40:23.0 (6038455)|STATEMENT_EXECUTE|[39]
17:40:23.0 (6039975)|STATEMENT_EXECUTE|[41]
17:40:23.0 (6063570)|HEAP_ALLOCATE|[41]|Bytes:4
17:40:23.0 (6131848)|VARIABLE_SCOPE_BEGIN|[41]|favoriteJobIds|Set<Id>|true|false
17:40:23.0 (6184070)|VARIABLE_ASSIGNMENT|[41]|favoriteJobIds|[]|0x55963383
17:40:23.0 (6241082)|HEAP_ALLOCATE|[42]|Bytes:105
17:40:23.0 (6251255)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
17:40:23.0 (6254626)|STATEMENT_EXECUTE|[1]
17:40:23.0 (6262126)|SYSTEM_METHOD_EXIT|[1]|UserInfo
17:40:23.0 (6288363)|METHOD_ENTRY|[42]||System.UserInfo.getUserId()
17:40:23.0 (8592784)|METHOD_EXIT|[42]||System.UserInfo.getUserId()
17:40:23.0 (8611832)|STATEMENT_EXECUTE|[42]
17:40:23.0 (8622573)|HEAP_ALLOCATE|[43]|Bytes:102
17:40:23.0 (8653548)|HEAP_ALLOCATE|[43]|Bytes:4
17:40:23.0 (8670693)|HEAP_ALLOCATE|[43]|Bytes:7
17:40:23.0 (8681561)|METHOD_ENTRY|[46]||System.UserInfo.getUserId()
17:40:23.0 (8730989)|METHOD_EXIT|[46]||System.UserInfo.getUserId()
17:40:23.0 (12578951)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT Job__c FROM InterestedJob__c WHERE (CreatedById = :tmpVar1 AND IsArchive__c = FALSE) LIMIT 1000
17:40:23.0 (23831796)|SOQL_EXECUTE_END|[43]|Rows:4
17:40:23.0 (23873642)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:40:23.0 (24140470)|HEAP_ALLOCATE|[43]|Bytes:54
17:40:23.0 (24150251)|HEAP_ALLOCATE|[43]|Bytes:8
17:40:23.0 (24164373)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
17:40:23.0 (24168800)|STATEMENT_EXECUTE|[7]
17:40:23.0 (24179978)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
17:40:23.0 (24188745)|HEAP_ALLOCATE|[43]|Bytes:28
17:40:23.0 (24276103)|HEAP_ALLOCATE|[43]|Bytes:20
17:40:23.0 (24284604)|HEAP_ALLOCATE|[43]|Bytes:8
17:40:23.0 (24286578)|HEAP_ALLOCATE|[43]|Bytes:8
17:40:23.0 (24291825)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
17:40:23.0 (24354932)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x7fb662b9
17:40:23.0 (24358411)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
17:40:23.0 (24494290)|VARIABLE_ASSIGNMENT|[15]|values|[{"Job__c":"a0KBK00000Gexcs2AB","Id":"a0OBK000004najC2AQ"},{"Job__c":"a0KBK00000Gexdg2AB","Id":"a0OBK000004nbNV2AY"},{"Job__c":"a0KBK00000Gexcu2AB","Id":"a0OBK000004v8wE2AQ"},{"Job__c":"a0KBK00000GezgQ2AR","Id":"a0OBK0000050riz2AA"}]|0x790cb5cb
17:40:23.0 (24499861)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
17:40:23.0 (24519690)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Job__c FROM I (82 more) ..."}|0x6c4ba250
17:40:23.0 (24523148)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
17:40:23.0 (24529323)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|4
17:40:23.0 (24531435)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
17:40:23.0 (24535093)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49996
17:40:23.0 (24611581)|HEAP_ALLOCATE|[43]|Bytes:28
17:40:23.0 (24636607)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.hasNext()
17:40:23.0 (24732099)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.hasNext()
17:40:23.0 (24738075)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.next()
17:40:23.0 (24794345)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.next()
17:40:23.0 (24799395)|VARIABLE_SCOPE_BEGIN|[43]|fav|InterestedJob__c|true|false
17:40:23.0 (24826212)|VARIABLE_ASSIGNMENT|[43]|fav|{"Job__c":"a0KBK00000Gexcs2AB","Id":"a0OBK000004najC2AQ"}|0xc3a6b1d
17:40:23.0 (24832804)|STATEMENT_EXECUTE|[49]
17:40:23.0 (24835088)|STATEMENT_EXECUTE|[50]
17:40:23.0 (24918037)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:23.0 (24929344)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.hasNext()
