66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:00:17.0 (204365)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:00:17.0 (241414)|EXECUTION_STARTED
17:00:17.0 (250077)|CODE_UNIT_STARTED|[EXTERNAL]|apex://PicklistController/ACTION$getPicklistOptions
17:00:17.0 (2103207)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001iHe5|PicklistController.getPicklistOptions(String, String)
17:00:17.0 (2383243)|HEAP_ALLOCATE|[95]|Bytes:3
17:00:17.0 (2477889)|HEAP_ALLOCATE|[100]|Bytes:152
17:00:17.0 (2496989)|HEAP_ALLOCATE|[417]|Bytes:408
17:00:17.0 (2509199)|HEAP_ALLOCATE|[430]|Bytes:408
17:00:17.0 (2531889)|HEAP_ALLOCATE|[317]|Bytes:6
17:00:17.0 (2577079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
17:00:17.0 (2587426)|METHOD_ENTRY|[1]|01pBK000001iHe5|PicklistController.PicklistController()
17:00:17.0 (2591264)|STATEMENT_EXECUTE|[1]
17:00:17.0 (2597109)|STATEMENT_EXECUTE|[1]
17:00:17.0 (2616302)|HEAP_ALLOCATE|[68]|Bytes:5
17:00:17.0 (2638521)|HEAP_ALLOCATE|[74]|Bytes:5
17:00:17.0 (2643003)|HEAP_ALLOCATE|[82]|Bytes:7
17:00:17.0 (2812901)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:00:17.0 (2823386)|METHOD_EXIT|[1]|PicklistController
17:00:17.0 (2827165)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:00:17.0 (2828886)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
17:00:17.0 (2834306)|VARIABLE_SCOPE_BEGIN|[3]|objectName|String|false|false
17:00:17.0 (2883934)|VARIABLE_ASSIGNMENT|[3]|objectName|"Account"
17:00:17.0 (2886697)|VARIABLE_SCOPE_BEGIN|[3]|fieldName|String|false|false
17:00:17.0 (2892304)|VARIABLE_ASSIGNMENT|[3]|fieldName|"CurrentAnnualIncome1 (3 more) ..."
17:00:17.0 (2902971)|HEAP_ALLOCATE|[4]|Bytes:5
17:00:17.0 (2905834)|STATEMENT_EXECUTE|[3]
17:00:17.0 (2907040)|STATEMENT_EXECUTE|[4]
17:00:17.0 (2944354)|HEAP_ALLOCATE|[4]|Bytes:4
17:00:17.0 (2994479)|VARIABLE_SCOPE_BEGIN|[4]|options|List<Map<String,String>>|true|false
17:00:17.0 (3029358)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (3040645)|VARIABLE_ASSIGNMENT|[4]|options|[]|0x7728b44b
17:00:17.0 (3043604)|STATEMENT_EXECUTE|[5]
17:00:17.0 (57733188)|HEAP_ALLOCATE|[5]|Bytes:5300
17:00:17.0 (57778597)|VARIABLE_SCOPE_BEGIN|[5]|globalDescribe|Map<String,Schema.SObjectType>|true|false
17:00:17.0 (58454059)|VARIABLE_ASSIGNMENT|[5]|globalDescribe|"{acceptedeventrelation=AcceptedEventRelation, account=Account, accountbrand=AccountBrand, accountbrandshare=AccountBrandShare, accountchangeevent=AccountChangeEvent, accountcontactrole=AccountContactRole, accountcontactrolechangeevent=AccountContactRoleChangeEvent, accountfeed=AccountFeed, accounthistory=AccountHistory, accountpartner=AccountPartner, ...}"|0x1e7ef5ae
17:00:17.0 (58465889)|STATEMENT_EXECUTE|[6]
17:00:17.0 (58572989)|VARIABLE_SCOPE_BEGIN|[6]|objType|Schema.SObjectType|true|false
17:00:17.0 (58653969)|VARIABLE_ASSIGNMENT|[6]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@3732cbbc"|0x3732cbbc
17:00:17.0 (58658902)|STATEMENT_EXECUTE|[7]
17:00:17.0 (58660131)|STATEMENT_EXECUTE|[10]
17:00:17.0 (59149510)|HEAP_ALLOCATE|[10]|Bytes:4
17:00:17.0 (61135865)|HEAP_ALLOCATE|[10]|Bytes:1552
17:00:17.0 (61165422)|VARIABLE_SCOPE_BEGIN|[10]|fieldMap|Map<String,Schema.SObjectField>|true|false
17:00:17.0 (61468739)|VARIABLE_ASSIGNMENT|[10]|fieldMap|"{accountnumber=AccountNumber, accountsource=AccountSource, addressfurigana__c=AddressFurigana__c, addressmemo__c=AddressMemo__c, age__pc=Age__pc, agentusagestatus__pc=AgentUsageStatus__pc, annualhiringtarget__c=AnnualHiringTarget__c, annualrevenue=AnnualRevenue, annualrevenue__c=AnnualRevenue__c, aobampmemo__c=AobaMpMemo__c, ...}"|0x22935cc2
17:00:17.0 (61476798)|STATEMENT_EXECUTE|[11]
17:00:17.0 (61554925)|VARIABLE_SCOPE_BEGIN|[11]|field|Schema.SObjectField|true|false
17:00:17.0 (61592667)|VARIABLE_ASSIGNMENT|[11]|field|"common.apex.runtime.impl.ApexFieldToken@57a62a60"|0x57a62a60
17:00:17.0 (61596979)|STATEMENT_EXECUTE|[12]
17:00:17.0 (61598074)|STATEMENT_EXECUTE|[16]
17:00:17.0 (61626180)|SYSTEM_MODE_ENTER|true
17:00:17.0 (63285874)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (63374972)|HEAP_ALLOCATE|[16]|Bytes:8
17:00:17.0 (63392279)|VARIABLE_SCOPE_BEGIN|[16]|fieldDescribe|Schema.DescribeFieldResult|true|false
17:00:17.0 (66943653)|VARIABLE_ASSIGNMENT|[16]|fieldDescribe|"common.api.soap.wsdl.Field@ec1505bc"|0x6dabcff1
17:00:17.0 (67735709)|HEAP_ALLOCATE|[17]|Bytes:16
17:00:17.0 (67858982)|STATEMENT_EXECUTE|[17]
17:00:17.0 (67861845)|STATEMENT_EXECUTE|[22]
17:00:17.0 (67900211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:48
17:00:17.0 (67961950)|HEAP_ALLOCATE|[22]|Bytes:48
17:00:17.0 (67970969)|VARIABLE_SCOPE_BEGIN|[22]|picklistEntries|List<Schema.PicklistEntry>|true|false
17:00:17.0 (67991551)|VARIABLE_ASSIGNMENT|[22]|picklistEntries|"List of size 11 too large to display"|0x38d5e1c6
17:00:17.0 (68173361)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68193098)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68202728)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68216131)|VARIABLE_ASSIGNMENT|[24]|entry|指定なし|0x661e7232
17:00:17.0 (68222182)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68234792)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68235774)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68250269)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68262964)|HEAP_ALLOCATE|[27]|Bytes:5
17:00:17.0 (68271280)|HEAP_ALLOCATE|[27]|Bytes:4
17:00:17.0 (68365125)|HEAP_ALLOCATE|[28]|Bytes:5
17:00:17.0 (68370959)|HEAP_ALLOCATE|[28]|Bytes:4
17:00:17.0 (68389227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68397111)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68402313)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68405340)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68410817)|VARIABLE_ASSIGNMENT|[24]|entry|200万円以下|0x715264e6
17:00:17.0 (68413946)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68416507)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68417334)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68421016)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68424759)|HEAP_ALLOCATE|[27]|Bytes:7
17:00:17.0 (68430632)|HEAP_ALLOCATE|[28]|Bytes:7
17:00:17.0 (68436372)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68441466)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68445781)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68448244)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68452546)|VARIABLE_ASSIGNMENT|[24]|entry|201万円～300万円|0x4bf2a3c
17:00:17.0 (68455360)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68457133)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68457999)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68460263)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68463117)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68468010)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68473589)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68478282)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68482136)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68484352)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68519744)|VARIABLE_ASSIGNMENT|[24]|entry|301万円～400万円|0x77dc8309
17:00:17.0 (68523970)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68526407)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68527227)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68529882)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68532887)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68538190)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68544032)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68549048)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68552965)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68555302)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68559395)|VARIABLE_ASSIGNMENT|[24]|entry|401万円～500万円|0x6246e022
17:00:17.0 (68561939)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68563502)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68564330)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68566332)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68569096)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68573929)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68579552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68584284)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68588003)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68590327)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68594459)|VARIABLE_ASSIGNMENT|[24]|entry|501万円～600万円|0xd1cdd8
17:00:17.0 (68597242)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68598843)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68599645)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68601667)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68604341)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68609174)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68614417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68618907)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68622721)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68624866)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68629048)|VARIABLE_ASSIGNMENT|[24]|entry|601万円～700万円|0x7d42f934
17:00:17.0 (68631842)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68633462)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68634407)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68636567)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68639160)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68643893)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68649217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:00:17.0 (68653787)|HEAP_ALLOCATE|[24]|Bytes:5
17:00:17.0 (68657527)|HEAP_ALLOCATE|[24]|Bytes:4
17:00:17.0 (68659642)|VARIABLE_SCOPE_BEGIN|[24]|entry|Schema.PicklistEntry|true|false
17:00:17.0 (68663642)|VARIABLE_ASSIGNMENT|[24]|entry|701万円～800万円|0x6e15e95e
17:00:17.0 (68666187)|STATEMENT_EXECUTE|[24]
17:00:17.0 (68667742)|STATEMENT_EXECUTE|[25]
17:00:17.0 (68668559)|STATEMENT_EXECUTE|[26]
17:00:17.0 (68670562)|HEAP_ALLOCATE|[26]|Bytes:4
17:00:17.0 (68673146)|HEAP_ALLOCATE|[27]|Bytes:11
17:00:17.0 (68678285)|HEAP_ALLOCATE|[28]|Bytes:11
17:00:17.0 (68683605)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
