66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:37:37.0 (235799)|USER_INFO|[EXTERNAL]|005BK00000Ilvi1|foryoze@owleyes.ch.hurex|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
10:37:37.0 (331618)|EXECUTION_STARTED
10:37:37.0 (345201)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
10:37:37.0 (1182623)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
10:37:37.0 (1422184)|HEAP_ALLOCATE|[95]|Bytes:3
10:37:37.0 (1500834)|HEAP_ALLOCATE|[100]|Bytes:152
10:37:37.0 (1514555)|HEAP_ALLOCATE|[417]|Bytes:408
10:37:37.0 (1525686)|HEAP_ALLOCATE|[430]|Bytes:408
10:37:37.0 (1545166)|HEAP_ALLOCATE|[317]|Bytes:6
10:37:37.0 (1554710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:37:37.0 (1558255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:46
10:37:37.0 (1566967)|METHOD_ENTRY|[5]|01pBK000001SmE1|JobSearchController.JobSearchController()
10:37:37.0 (1571726)|STATEMENT_EXECUTE|[5]
10:37:37.0 (1576037)|STATEMENT_EXECUTE|[5]
10:37:37.0 (1595131)|HEAP_ALLOCATE|[68]|Bytes:5
10:37:37.0 (1617417)|HEAP_ALLOCATE|[74]|Bytes:5
10:37:37.0 (1621745)|HEAP_ALLOCATE|[82]|Bytes:7
10:37:37.0 (1772790)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:37:37.0 (1776500)|STATEMENT_EXECUTE|[7]
10:37:37.0 (1784408)|METHOD_EXIT|[5]|JobSearchController
10:37:37.0 (1795023)|HEAP_ALLOCATE|[137]|Bytes:5
10:37:37.0 (1797340)|STATEMENT_EXECUTE|[136]
10:37:37.0 (1798555)|STATEMENT_EXECUTE|[137]
10:37:37.0 (1812470)|HEAP_ALLOCATE|[137]|Bytes:4
10:37:37.0 (1822397)|HEAP_ALLOCATE|[138]|Bytes:13
10:37:37.0 (1833268)|METHOD_ENTRY|[138]|01pBK000001SmE1|JobSearchController.getJobCategories()
10:37:37.0 (1875226)|HEAP_ALLOCATE|[147]|Bytes:5
10:37:37.0 (1877655)|STATEMENT_EXECUTE|[146]
10:37:37.0 (1878671)|STATEMENT_EXECUTE|[147]
10:37:37.0 (1890616)|HEAP_ALLOCATE|[147]|Bytes:4
10:37:37.0 (1916882)|VARIABLE_SCOPE_BEGIN|[147]|categories|List<Map<String,String>>|true|false
10:37:37.0 (1974267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:37:37.0 (2010831)|VARIABLE_ASSIGNMENT|[147]|categories|[]|0x69fd8c6d
10:37:37.0 (2016478)|HEAP_ALLOCATE|[148]|Bytes:215
10:37:37.0 (2021253)|HEAP_ALLOCATE|[148]|Bytes:4
10:37:37.0 (2931051)|SOQL_EXECUTE_BEGIN|[148]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
10:37:37.0 (21722483)|SOQL_EXECUTE_END|[148]|Rows:51
10:37:37.0 (21766466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
10:37:37.0 (22014848)|HEAP_ALLOCATE|[148]|Bytes:54
10:37:37.0 (22022538)|HEAP_ALLOCATE|[148]|Bytes:8
10:37:37.0 (22035827)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
10:37:37.0 (22040318)|STATEMENT_EXECUTE|[7]
10:37:37.0 (22053626)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
10:37:37.0 (22062507)|HEAP_ALLOCATE|[148]|Bytes:28
10:37:37.0 (22149531)|HEAP_ALLOCATE|[148]|Bytes:208
10:37:37.0 (22159906)|HEAP_ALLOCATE|[148]|Bytes:8
10:37:37.0 (22161673)|HEAP_ALLOCATE|[148]|Bytes:8
10:37:37.0 (22166328)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
10:37:37.0 (22212521)|VARIABLE_ASSIGNMENT|[15]|this|{}|0xbd98c7f
10:37:37.0 (22216481)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
10:37:37.0 (22230431)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x7c3eaa4e
10:37:37.0 (22233361)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
10:37:37.0 (22251929)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x422df6be
10:37:37.0 (22254618)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
10:37:37.0 (22260366)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
10:37:37.0 (22262481)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
10:37:37.0 (22266041)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
10:37:37.0 (24976677)|HEAP_ALLOCATE|[148]|Bytes:28
10:37:37.0 (25011877)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25106051)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25110946)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25185034)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25191388)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
10:37:37.0 (25287048)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0x341f6c10
10:37:37.0 (25295503)|STATEMENT_EXECUTE|[152]
10:37:37.0 (25296905)|STATEMENT_EXECUTE|[153]
10:37:37.0 (25314489)|HEAP_ALLOCATE|[153]|Bytes:4
10:37:37.0 (25325445)|HEAP_ALLOCATE|[154]|Bytes:15
10:37:37.0 (25398729)|HEAP_ALLOCATE|[154]|Bytes:3
10:37:37.0 (25429443)|HEAP_ALLOCATE|[155]|Bytes:21
10:37:37.0 (25441623)|HEAP_ALLOCATE|[155]|Bytes:6
10:37:37.0 (25461989)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:37:37.0 (25468559)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25478814)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25481446)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25507130)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25510541)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
10:37:37.0 (25524696)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"営業(個人)","JobCategory1__c":"営業系"}|0x7fc4074f
10:37:37.0 (25528539)|STATEMENT_EXECUTE|[152]
10:37:37.0 (25529471)|STATEMENT_EXECUTE|[153]
10:37:37.0 (25533549)|HEAP_ALLOCATE|[153]|Bytes:4
10:37:37.0 (25543058)|HEAP_ALLOCATE|[154]|Bytes:3
10:37:37.0 (25554225)|HEAP_ALLOCATE|[155]|Bytes:6
10:37:37.0 (25562894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:37:37.0 (25566729)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25575214)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25577485)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25602057)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25605859)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
10:37:37.0 (25620409)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"代理店営業","JobCategory1__c":"営業系"}|0x3181bf30
10:37:37.0 (25625381)|STATEMENT_EXECUTE|[152]
10:37:37.0 (25626991)|STATEMENT_EXECUTE|[153]
10:37:37.0 (25629809)|HEAP_ALLOCATE|[153]|Bytes:4
10:37:37.0 (25638080)|HEAP_ALLOCATE|[154]|Bytes:3
10:37:37.0 (25648315)|HEAP_ALLOCATE|[155]|Bytes:5
10:37:37.0 (25656249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:37:37.0 (25659943)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25667749)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25669899)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25689326)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25691600)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
10:37:37.0 (25701487)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"プリセールス・営業支援","JobCategory1__c":"営業系"}|0xec9517d
10:37:37.0 (25704684)|STATEMENT_EXECUTE|[152]
10:37:37.0 (25705431)|STATEMENT_EXECUTE|[153]
10:37:37.0 (25707917)|HEAP_ALLOCATE|[153]|Bytes:4
10:37:37.0 (25714550)|HEAP_ALLOCATE|[154]|Bytes:3
10:37:37.0 (25728944)|HEAP_ALLOCATE|[155]|Bytes:11
10:37:37.0 (25740940)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:37:37.0 (25746020)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25757155)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
10:37:37.0 (25760198)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25788170)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
10:37:37.0 (25790950)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
10:37:37.0 (25801026)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"その他営業","JobCategory1__c":"営業系"}|0x1abccb63
10:37:37.0 (25804091)|STATEMENT_EXECUTE|[152]
10:37:37.0 (25804880)|STATEMENT_EXECUTE|[153]
