66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:42.0 (165027)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:07:42.0 (213775)|EXECUTION_STARTED
17:07:42.0 (226527)|CODE_UNIT_STARTED|[EXTERNAL]|JobCardsController
17:07:42.0 (250216)|SYSTEM_MODE_ENTER|true
17:07:42.0 (476400)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:42.0 (529884)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:42.0 (547614)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:42.0 (564087)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:42.0 (591279)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:42.0 (1062075)|CODE_UNIT_FINISHED|JobCardsController
17:07:42.0 (1074822)|EXECUTION_FINISHED
