66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:19:29.0 (225307)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:19:29.0 (272816)|EXECUTION_STARTED
15:19:29.0 (284207)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
15:19:29.0 (2675604)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
15:19:29.0 (2977153)|HEAP_ALLOCATE|[95]|Bytes:3
15:19:29.0 (3073825)|HEAP_ALLOCATE|[100]|Bytes:152
15:19:29.0 (3093854)|HEAP_ALLOCATE|[417]|Bytes:408
15:19:29.0 (3109699)|HEAP_ALLOCATE|[430]|Bytes:408
15:19:29.0 (3138062)|HEAP_ALLOCATE|[317]|Bytes:6
15:19:29.0 (3153134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:19:29.0 (3156449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:19:29.0 (3158345)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:19:29.0 (3170202)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
15:19:29.0 (3176052)|STATEMENT_EXECUTE|[6]
15:19:29.0 (3181160)|STATEMENT_EXECUTE|[6]
15:19:29.0 (3201292)|HEAP_ALLOCATE|[68]|Bytes:5
15:19:29.0 (3226869)|HEAP_ALLOCATE|[74]|Bytes:5
15:19:29.0 (3231202)|HEAP_ALLOCATE|[82]|Bytes:7
15:19:29.0 (3404155)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:19:29.0 (3409511)|STATEMENT_EXECUTE|[11]
15:19:29.0 (3418602)|METHOD_EXIT|[6]|JobSearchController
15:19:29.0 (3430934)|HEAP_ALLOCATE|[203]|Bytes:5
15:19:29.0 (3433262)|STATEMENT_EXECUTE|[202]
15:19:29.0 (3434516)|STATEMENT_EXECUTE|[203]
15:19:29.0 (3450357)|HEAP_ALLOCATE|[203]|Bytes:4
15:19:29.0 (3461171)|HEAP_ALLOCATE|[204]|Bytes:13
15:19:29.0 (3472663)|METHOD_ENTRY|[204]|01pBK000001SmE1|JobSearchController.getJobCategories()
15:19:29.0 (3547832)|HEAP_ALLOCATE|[218]|Bytes:5
15:19:29.0 (3552782)|STATEMENT_EXECUTE|[217]
15:19:29.0 (3554384)|STATEMENT_EXECUTE|[218]
15:19:29.0 (3569404)|HEAP_ALLOCATE|[218]|Bytes:4
15:19:29.0 (3597796)|VARIABLE_SCOPE_BEGIN|[218]|categories|List<Map<String,String>>|true|false
15:19:29.0 (3645126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:29.0 (3682696)|VARIABLE_ASSIGNMENT|[218]|categories|[]|0x7e1b68fb
15:19:29.0 (3687688)|HEAP_ALLOCATE|[219]|Bytes:215
15:19:29.0 (3692634)|HEAP_ALLOCATE|[219]|Bytes:4
15:19:29.0 (4692765)|SOQL_EXECUTE_BEGIN|[219]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
15:19:29.0 (24201826)|SOQL_EXECUTE_END|[219]|Rows:51
15:19:29.0 (24247338)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
15:19:29.0 (24491161)|HEAP_ALLOCATE|[219]|Bytes:54
15:19:29.0 (24500334)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:29.0 (24515163)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
15:19:29.0 (24519593)|STATEMENT_EXECUTE|[7]
15:19:29.0 (24529198)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
15:19:29.0 (24536030)|HEAP_ALLOCATE|[219]|Bytes:28
15:19:29.0 (24604152)|HEAP_ALLOCATE|[219]|Bytes:208
15:19:29.0 (24612732)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:29.0 (24614590)|HEAP_ALLOCATE|[219]|Bytes:8
15:19:29.0 (24620278)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
15:19:29.0 (24665843)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x5350cc59
15:19:29.0 (24670548)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
15:19:29.0 (24684519)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x10562847
15:19:29.0 (24688690)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
15:19:29.0 (24765181)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x26962a37
15:19:29.0 (24768627)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
15:19:29.0 (24774492)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
15:19:29.0 (24776751)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
15:19:29.0 (24780989)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
15:19:29.0 (25917900)|HEAP_ALLOCATE|[219]|Bytes:28
15:19:29.0 (25959501)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
15:19:29.0 (26073690)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
15:19:29.0 (26083105)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
15:19:29.0 (26174330)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
15:19:29.0 (26181729)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
15:19:29.0 (26298195)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0x427f0971
15:19:29.0 (26308647)|STATEMENT_EXECUTE|[225]
15:19:29.0 (26310250)|STATEMENT_EXECUTE|[226]
15:19:29.0 (26330089)|HEAP_ALLOCATE|[226]|Bytes:4
15:19:29.0 (26345280)|HEAP_ALLOCATE|[227]|Bytes:15
15:19:29.0 (26447522)|HEAP_ALLOCATE|[227]|Bytes:3
15:19:29.0 (26476474)|HEAP_ALLOCATE|[228]|Bytes:21
