66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:16:46.4 (4338805)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:16:46.4 (4387710)|EXECUTION_STARTED
18:16:46.4 (4401363)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001eV2v|PORTERSIncrementalSyncBatch
18:16:46.4 (6466421)|HEAP_ALLOCATE|[95]|Bytes:3
18:16:46.4 (6579585)|HEAP_ALLOCATE|[100]|Bytes:152
18:16:46.4 (6598537)|HEAP_ALLOCATE|[417]|Bytes:408
18:16:46.4 (6616236)|HEAP_ALLOCATE|[430]|Bytes:408
18:16:46.4 (6647382)|HEAP_ALLOCATE|[317]|Bytes:6
18:16:46.4 (10069993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:108
18:16:46.4 (17124913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:16:46.4 (17154889)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
18:16:46.4 (17161995)|STATEMENT_EXECUTE|[15]
18:16:46.4 (17177718)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
18:16:46.4 (17184800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:16:46.4 (17187972)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:46.4 (17192484)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
18:16:46.4 (17268675)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x12c401a8
18:16:46.4 (17273271)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
18:16:46.4 (17363335)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wdDMiYAM"
18:16:46.4 (17366411)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
18:16:46.4 (17372599)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
18:16:46.4 (21225209)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:75
18:16:46.4 (21243590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:16:46.4 (21252793)|METHOD_ENTRY|[7]|01pBK000001eV2v|PORTERSIncrementalSyncBatch.PORTERSIncrementalSyncBatch()
18:16:46.4 (21259592)|STATEMENT_EXECUTE|[7]
18:16:46.4 (21264416)|STATEMENT_EXECUTE|[7]
18:16:46.4 (21267177)|METHOD_EXIT|[7]|PORTERSIncrementalSyncBatch
18:16:46.4 (21270858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:16:46.4 (21272796)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:16:46.4 (21346714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:16:46.4 (21352493)|VARIABLE_SCOPE_BEGIN|[46]|this|PORTERSIncrementalSyncBatch|true|false
18:16:46.4 (21401993)|VARIABLE_ASSIGNMENT|[46]|this|{"startTime":"2026-03-31T09:16:41.635Z","syncResult":"0x476c19a8"}|0x5c20fa86
18:16:46.4 (21406374)|VARIABLE_SCOPE_BEGIN|[46]|bc|Database.BatchableContext|true|false
18:16:46.4 (21462540)|VARIABLE_ASSIGNMENT|[46]|bc|{"jobId":"707BK00000wdDMiYAM"}|0x12c401a8
18:16:46.4 (21466496)|VARIABLE_SCOPE_BEGIN|[46]|scope|List<SObject>|true|false
18:16:46.4 (21484282)|VARIABLE_ASSIGNMENT|[46]|scope|[{}]|0x29271cb5
18:16:46.4 (21492348)|STATEMENT_EXECUTE|[46]
18:16:46.4 (21494530)|STATEMENT_EXECUTE|[47]
18:16:46.4 (21495475)|STATEMENT_EXECUTE|[47]
18:16:46.4 (21496373)|STATEMENT_EXECUTE|[49]
18:16:46.4 (25341168)|VARIABLE_SCOPE_BEGIN|[8]|PORTERSDataService.BASE_URL|String|false|true
18:16:46.4 (25367767)|HEAP_ALLOCATE|[49]|Bytes:26
18:16:46.4 (25375555)|HEAP_ALLOCATE|[49]|Bytes:17
18:16:46.4 (25377547)|HEAP_ALLOCATE|[49]|Bytes:36
18:16:46.4 (25392487)|VARIABLE_ASSIGNMENT|[49]|PORTERSDataService.BASE_URL|"https://api-hrbc-jp. (16 more) ..."
18:16:46.4 (25413804)|METHOD_ENTRY|[7]|01pBK000001ZFgL|PORTERSDataService.PORTERSDataService()
18:16:46.4 (25419095)|STATEMENT_EXECUTE|[7]
18:16:46.4 (25422832)|STATEMENT_EXECUTE|[7]
18:16:46.4 (25450728)|HEAP_ALLOCATE|[68]|Bytes:5
18:16:46.4 (25476630)|HEAP_ALLOCATE|[74]|Bytes:5
18:16:46.4 (25483283)|HEAP_ALLOCATE|[82]|Bytes:7
18:16:46.4 (25851003)|HEAP_ALLOCATE|[49]|Bytes:5
18:16:46.4 (25856380)|STATEMENT_EXECUTE|[14]
18:16:46.4 (25857699)|STATEMENT_EXECUTE|[218]
18:16:46.4 (25866699)|METHOD_EXIT|[7]|PORTERSDataService
18:16:46.4 (25906199)|METHOD_ENTRY|[49]|01pBK000001ZFgL|PORTERSDataService.getCandidatesSince(Integer, Datetime)
18:16:46.4 (26243609)|VARIABLE_SCOPE_BEGIN|[86]|maxRecords|Integer|false|false
18:16:46.4 (26255167)|VARIABLE_ASSIGNMENT|[86]|maxRecords|null
18:16:46.4 (26265396)|VARIABLE_SCOPE_BEGIN|[86]|lastSyncTime|Datetime|false|false
18:16:46.4 (26269371)|VARIABLE_ASSIGNMENT|[86]|lastSyncTime|null
18:16:46.4 (26280096)|HEAP_ALLOCATE|[87]|Bytes:5
18:16:46.4 (26283764)|STATEMENT_EXECUTE|[86]
18:16:46.4 (26284839)|STATEMENT_EXECUTE|[87]
18:16:46.4 (26289513)|VARIABLE_SCOPE_BEGIN|[87]|partitionId|Integer|false|false
18:16:46.4 (26293091)|HEAP_ALLOCATE|[87]|Bytes:4
18:16:46.4 (26298983)|VARIABLE_ASSIGNMENT|[87]|partitionId|2012
18:16:46.4 (26301142)|STATEMENT_EXECUTE|[88]
18:16:46.4 (26303184)|HEAP_ALLOCATE|[88]|Bytes:181
18:16:46.4 (26305921)|VARIABLE_SCOPE_BEGIN|[88]|fields|String|false|false
18:16:46.4 (26313232)|VARIABLE_ASSIGNMENT|[88]|fields|"Person.P_Id,Person.P (161 more) ..."
18:16:46.4 (26315496)|STATEMENT_EXECUTE|[89]
18:16:46.4 (26317039)|VARIABLE_SCOPE_BEGIN|[89]|condition|String|false|false
18:16:46.4 (26321291)|VARIABLE_ASSIGNMENT|[89]|condition|""
18:16:46.4 (26323957)|STATEMENT_EXECUTE|[90]
18:16:46.4 (26324881)|STATEMENT_EXECUTE|[95]
18:16:46.4 (26338643)|METHOD_ENTRY|[95]|01pBK000001ZFgL|PORTERSDataService.getCandidatesInternal(Integer, String, String, Integer)
18:16:46.4 (26365866)|VARIABLE_SCOPE_BEGIN|[106]|partitionId|Integer|false|false
18:16:46.4 (26369983)|VARIABLE_ASSIGNMENT|[106]|partitionId|2012
18:16:46.4 (26372330)|VARIABLE_SCOPE_BEGIN|[106]|fields|String|false|false
18:16:46.4 (26376511)|VARIABLE_ASSIGNMENT|[106]|fields|"Person.P_Id,Person.P (161 more) ..."
18:16:46.4 (26378420)|VARIABLE_SCOPE_BEGIN|[106]|condition|String|false|false
18:16:46.4 (26382076)|VARIABLE_ASSIGNMENT|[106]|condition|""
18:16:46.4 (26384098)|VARIABLE_SCOPE_BEGIN|[106]|maxRecords|Integer|false|false
18:16:46.4 (26387343)|VARIABLE_ASSIGNMENT|[106]|maxRecords|null
18:16:46.4 (26391803)|HEAP_ALLOCATE|[107]|Bytes:5
18:16:46.4 (26394001)|STATEMENT_EXECUTE|[106]
18:16:46.4 (26395209)|STATEMENT_EXECUTE|[107]
18:16:46.4 (26405829)|HEAP_ALLOCATE|[107]|Bytes:4
18:16:46.4 (26473429)|VARIABLE_SCOPE_BEGIN|[107]|allCandidates|List<PORTERSDataService.Candidate>|true|false
18:16:46.4 (26505256)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:46.4 (26516169)|VARIABLE_ASSIGNMENT|[107]|allCandidates|[]|0x31e3e00b
18:16:46.4 (26519914)|STATEMENT_EXECUTE|[108]
18:16:46.4 (26521954)|VARIABLE_SCOPE_BEGIN|[108]|start|Integer|false|false
18:16:46.4 (26525375)|HEAP_ALLOCATE|[108]|Bytes:4
18:16:46.4 (26528598)|VARIABLE_ASSIGNMENT|[108]|start|0
18:16:46.4 (26530687)|STATEMENT_EXECUTE|[109]
18:16:46.4 (26532069)|VARIABLE_SCOPE_BEGIN|[109]|pageSize|Integer|false|false
18:16:46.4 (26535431)|HEAP_ALLOCATE|[109]|Bytes:4
18:16:46.4 (26537822)|VARIABLE_ASSIGNMENT|[109]|pageSize|200
18:16:46.4 (26539953)|STATEMENT_EXECUTE|[110]
18:16:46.4 (26543253)|VARIABLE_SCOPE_BEGIN|[110]|hasMore|Boolean|false|false
18:16:46.4 (26547992)|HEAP_ALLOCATE|[110]|Bytes:5
18:16:46.4 (26550738)|VARIABLE_ASSIGNMENT|[110]|hasMore|true
18:16:46.4 (26557317)|STATEMENT_EXECUTE|[112]
18:16:46.4 (26558118)|STATEMENT_EXECUTE|[114]
18:16:46.4 (26570712)|HEAP_ALLOCATE|[114]|Bytes:4
18:16:46.4 (26577333)|HEAP_ALLOCATE|[115]|Bytes:9
18:16:46.4 (26609993)|HEAP_ALLOCATE|[115]|Bytes:4
18:16:46.4 (26640970)|HEAP_ALLOCATE|[116]|Bytes:5
18:16:46.4 (26648403)|HEAP_ALLOCATE|[116]|Bytes:3
18:16:46.4 (26655575)|HEAP_ALLOCATE|[117]|Bytes:5
18:16:46.4 (26661573)|HEAP_ALLOCATE|[117]|Bytes:1
18:16:46.4 (26670303)|HEAP_ALLOCATE|[118]|Bytes:5
18:16:46.4 (26677040)|HEAP_ALLOCATE|[119]|Bytes:9
18:16:46.4 (26679754)|HEAP_ALLOCATE|[119]|Bytes:8
18:16:46.4 (26686216)|VARIABLE_SCOPE_BEGIN|[114]|params|Map<String,String>|true|false
18:16:46.4 (26710660)|VARIABLE_ASSIGNMENT|[114]|params|{"partition":"2012","count":"200","start":"0","field":"Person.P_Id,Person.P (161 more) ...","itemstate":"existing"}|0x6843816e
18:16:46.4 (26732930)|STATEMENT_EXECUTE|[121]
18:16:46.4 (26734865)|STATEMENT_EXECUTE|[125]
18:16:46.4 (26739423)|HEAP_ALLOCATE|[125]|Bytes:14
18:16:46.4 (26746331)|METHOD_ENTRY|[125]|01pBK000001ZFgL|PORTERSDataService.buildQueryString(Map<String,String>)
18:16:46.4 (26753285)|VARIABLE_SCOPE_BEGIN|[163]|params|Map<String,String>|true|false
18:16:46.4 (26759772)|VARIABLE_ASSIGNMENT|[163]|params|{"partition":"2012","count":"200","start":"0","field":"Person.P_Id,Person.P (161 more) ...","itemstate":"existing"}|0x6843816e
18:16:46.4 (26766698)|HEAP_ALLOCATE|[164]|Bytes:5
18:16:46.4 (26768701)|STATEMENT_EXECUTE|[163]
18:16:46.4 (26769639)|STATEMENT_EXECUTE|[164]
18:16:46.4 (26776394)|HEAP_ALLOCATE|[164]|Bytes:4
18:16:46.4 (26787920)|VARIABLE_SCOPE_BEGIN|[164]|pairs|List<String>|true|false
18:16:46.4 (26807060)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:46.4 (26810733)|VARIABLE_ASSIGNMENT|[164]|pairs|[]|0x4ce59f16
18:16:46.4 (26839324)|HEAP_ALLOCATE|[165]|Bytes:57
18:16:46.4 (26903979)|HEAP_ALLOCATE|[165]|Bytes:5
18:16:46.4 (26917437)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:16:46.4 (26922375)|VARIABLE_ASSIGNMENT|[165]|key|"partition"
18:16:46.4 (26924740)|STATEMENT_EXECUTE|[165]
18:16:46.4 (26925685)|STATEMENT_EXECUTE|[166]
18:16:46.4 (26940164)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:16:46.4 (26944476)|VARIABLE_ASSIGNMENT|[166]|value|"2012"
18:16:46.4 (26955356)|STATEMENT_EXECUTE|[167]
18:16:46.4 (26956346)|STATEMENT_EXECUTE|[168]
18:16:46.4 (26957745)|HEAP_ALLOCATE|[168]|Bytes:1
18:16:46.4 (26959905)|HEAP_ALLOCATE|[168]|Bytes:5
18:16:46.4 (26979350)|HEAP_ALLOCATE|[168]|Bytes:15
18:16:46.4 (26987118)|SYSTEM_METHOD_ENTRY|[1]|EncodingUtil.EncodingUtil()
18:16:46.4 (26989251)|STATEMENT_EXECUTE|[1]
18:16:46.4 (26994836)|SYSTEM_METHOD_EXIT|[1]|EncodingUtil
18:16:46.4 (27008131)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:16:46.4 (27042210)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
18:16:46.4 (27049990)|HEAP_ALLOCATE|[168]|Bytes:14
18:16:46.4 (27059466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:16:46.4 (27066235)|HEAP_ALLOCATE|[165]|Bytes:5
18:16:46.4 (27071141)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:16:46.4 (27075851)|VARIABLE_ASSIGNMENT|[165]|key|"count"
18:16:46.4 (27077974)|STATEMENT_EXECUTE|[165]
18:16:46.4 (27078743)|STATEMENT_EXECUTE|[166]
18:16:46.4 (27083243)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:16:46.4 (27087133)|VARIABLE_ASSIGNMENT|[166]|value|"200"
18:16:46.4 (27094695)|STATEMENT_EXECUTE|[167]
18:16:46.4 (27095532)|STATEMENT_EXECUTE|[168]
18:16:46.4 (27097770)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:16:46.4 (27107731)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
