66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:41:02.0 (217188)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:41:02.0 (258888)|EXECUTION_STARTED
17:41:02.0 (269675)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$getPrefecturePicklistValues
17:41:02.0 (1947231)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.getPrefecturePicklistValues()
17:41:02.0 (2227729)|HEAP_ALLOCATE|[95]|Bytes:3
17:41:02.0 (2304676)|HEAP_ALLOCATE|[100]|Bytes:152
17:41:02.0 (2318446)|HEAP_ALLOCATE|[417]|Bytes:408
17:41:02.0 (2328586)|HEAP_ALLOCATE|[430]|Bytes:408
17:41:02.0 (2346806)|HEAP_ALLOCATE|[317]|Bytes:6
17:41:02.0 (2355521)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
17:41:02.0 (2358652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
17:41:02.0 (2360349)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:41:02.0 (2369762)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
17:41:02.0 (2374715)|STATEMENT_EXECUTE|[5]
17:41:02.0 (2377692)|STATEMENT_EXECUTE|[5]
17:41:02.0 (2397493)|HEAP_ALLOCATE|[68]|Bytes:5
17:41:02.0 (2422657)|HEAP_ALLOCATE|[74]|Bytes:5
17:41:02.0 (2429664)|HEAP_ALLOCATE|[82]|Bytes:7
17:41:02.0 (2603921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:41:02.0 (2608981)|STATEMENT_EXECUTE|[7]
17:41:02.0 (2616105)|METHOD_EXIT|[5]|RegistrationInfoController
17:41:02.0 (2628461)|HEAP_ALLOCATE|[96]|Bytes:5
17:41:02.0 (2630482)|STATEMENT_EXECUTE|[95]
17:41:02.0 (2631686)|STATEMENT_EXECUTE|[96]
17:41:02.0 (2633338)|HEAP_ALLOCATE|[96]|Bytes:7
17:41:02.0 (2635476)|HEAP_ALLOCATE|[96]|Bytes:7
17:41:02.0 (3088620)|HEAP_ALLOCATE|[96]|Bytes:7
17:41:02.0 (3116669)|METHOD_ENTRY|[96]|01pBK000001mgyr|RegistrationInfoController.getPicklistValuesWithEmpty(Schema.SObjectField, String)
17:41:02.0 (3143870)|VARIABLE_SCOPE_BEGIN|[110]|field|Schema.SObjectField|true|false
17:41:02.0 (3377719)|VARIABLE_ASSIGNMENT|[110]|field|"common.apex.runtime.impl.ApexFieldToken@416e01ef"|0x416e01ef
17:41:02.0 (3385239)|VARIABLE_SCOPE_BEGIN|[110]|emptyLabel|String|false|false
17:41:02.0 (3397227)|VARIABLE_ASSIGNMENT|[110]|emptyLabel|"都道府県を選択"
17:41:02.0 (3413715)|HEAP_ALLOCATE|[111]|Bytes:5
17:41:02.0 (3417883)|STATEMENT_EXECUTE|[110]
17:41:02.0 (3419285)|STATEMENT_EXECUTE|[111]
17:41:02.0 (3434325)|HEAP_ALLOCATE|[111]|Bytes:4
17:41:02.0 (3464232)|VARIABLE_SCOPE_BEGIN|[111]|options|List<Map<String,String>>|true|false
17:41:02.0 (3497617)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:41:02.0 (3508398)|VARIABLE_ASSIGNMENT|[111]|options|[]|0x253f6c36
17:41:02.0 (3511448)|STATEMENT_EXECUTE|[112]
17:41:02.0 (3520406)|HEAP_ALLOCATE|[112]|Bytes:4
17:41:02.0 (3526545)|VARIABLE_SCOPE_BEGIN|[112]|emptyOption|Map<String,String>|true|false
17:41:02.0 (3574295)|VARIABLE_ASSIGNMENT|[112]|emptyOption|{}|0x40372b3b
17:41:02.0 (3577310)|STATEMENT_EXECUTE|[113]
17:41:02.0 (3579990)|HEAP_ALLOCATE|[113]|Bytes:5
17:41:02.0 (3618421)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
17:41:02.0 (3626615)|STATEMENT_EXECUTE|[114]
17:41:02.0 (3628442)|HEAP_ALLOCATE|[114]|Bytes:5
17:41:02.0 (3641581)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
17:41:02.0 (3645525)|STATEMENT_EXECUTE|[115]
17:41:02.0 (3661780)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:41:02.0 (3666665)|STATEMENT_EXECUTE|[117]
17:41:02.0 (3667751)|STATEMENT_EXECUTE|[117]
17:41:02.0 (3669000)|STATEMENT_EXECUTE|[118]
17:41:02.0 (3708306)|SYSTEM_MODE_ENTER|true
17:41:02.0 (7152885)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:41:02.0 (7253082)|HEAP_ALLOCATE|[118]|Bytes:8
17:41:02.0 (7274434)|VARIABLE_SCOPE_BEGIN|[118]|fieldResult|Schema.DescribeFieldResult|true|false
17:41:02.0 (8615741)|VARIABLE_ASSIGNMENT|[118]|fieldResult|"common.api.soap.wsdl.Field@145df6fd"|0x6a5c3eba
17:41:02.0 (8682110)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:192
17:41:02.0 (8767838)|HEAP_ALLOCATE|[119]|Bytes:192
17:41:02.0 (8986068)|HEAP_ALLOCATE|[119]|Bytes:5
17:41:02.0 (9005921)|HEAP_ALLOCATE|[119]|Bytes:4
