66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:45:06.0 (232204)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:45:06.0 (271192)|EXECUTION_STARTED
15:45:06.0 (280587)|CODE_UNIT_STARTED|[EXTERNAL]|apex://PicklistController/ACTION$getPicklistOptions
15:45:06.0 (3752631)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001iHe5|PicklistController.getPicklistOptions(String, String)
15:45:06.0 (7829461)|HEAP_ALLOCATE|[95]|Bytes:3
15:45:06.0 (7944099)|HEAP_ALLOCATE|[100]|Bytes:152
15:45:06.0 (7963822)|HEAP_ALLOCATE|[417]|Bytes:408
15:45:06.0 (7994859)|HEAP_ALLOCATE|[430]|Bytes:408
15:45:06.0 (8035980)|HEAP_ALLOCATE|[317]|Bytes:6
15:45:06.0 (8090668)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:45:06.0 (8102940)|METHOD_ENTRY|[1]|01pBK000001iHe5|PicklistController.PicklistController()
15:45:06.0 (8110278)|STATEMENT_EXECUTE|[1]
15:45:06.0 (8114753)|STATEMENT_EXECUTE|[1]
15:45:06.0 (8164148)|HEAP_ALLOCATE|[68]|Bytes:5
15:45:06.0 (8189289)|HEAP_ALLOCATE|[74]|Bytes:5
15:45:06.0 (8196518)|HEAP_ALLOCATE|[82]|Bytes:7
15:45:06.0 (8436243)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:45:06.0 (8449637)|METHOD_EXIT|[1]|PicklistController
15:45:06.0 (8455475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
15:45:06.0 (8458626)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:25
15:45:06.0 (8464514)|VARIABLE_SCOPE_BEGIN|[3]|objectName|String|false|false
15:45:06.0 (8498362)|VARIABLE_ASSIGNMENT|[3]|objectName|"Account"
15:45:06.0 (8503303)|VARIABLE_SCOPE_BEGIN|[3]|fieldName|String|false|false
15:45:06.0 (8512075)|VARIABLE_ASSIGNMENT|[3]|fieldName|"PreferredWorkLocatio (5 more) ..."
15:45:06.0 (8523522)|HEAP_ALLOCATE|[4]|Bytes:5
15:45:06.0 (8528393)|STATEMENT_EXECUTE|[3]
15:45:06.0 (8530045)|STATEMENT_EXECUTE|[4]
15:45:06.0 (8605613)|HEAP_ALLOCATE|[4]|Bytes:4
15:45:06.0 (8647095)|VARIABLE_SCOPE_BEGIN|[4]|options|List<Map<String,String>>|true|false
15:45:06.0 (8686181)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:45:06.0 (8697425)|VARIABLE_ASSIGNMENT|[4]|options|[]|0x7fb0c4bd
15:45:06.0 (8702095)|STATEMENT_EXECUTE|[5]
15:45:07.68 (1068316676)|HEAP_ALLOCATE|[5]|Bytes:5300
15:45:07.68 (1068447784)|VARIABLE_SCOPE_BEGIN|[5]|globalDescribe|Map<String,Schema.SObjectType>|true|false
15:45:07.68 (1069184112)|VARIABLE_ASSIGNMENT|[5]|globalDescribe|"{acceptedeventrelation=AcceptedEventRelation, account=Account, accountbrand=AccountBrand, accountbrandshare=AccountBrandShare, accountchangeevent=AccountChangeEvent, accountcontactrole=AccountContactRole, accountcontactrolechangeevent=AccountContactRoleChangeEvent, accountfeed=AccountFeed, accounthistory=AccountHistory, accountpartner=AccountPartner, ...}"|0x77ae6d18
15:45:07.68 (1069199752)|STATEMENT_EXECUTE|[6]
15:45:07.68 (1069408568)|VARIABLE_SCOPE_BEGIN|[6]|objType|Schema.SObjectType|true|false
15:45:07.68 (1069472364)|VARIABLE_ASSIGNMENT|[6]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@598cd461"|0x598cd461
15:45:07.68 (1069477259)|STATEMENT_EXECUTE|[7]
