66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:25:36.2 (2264808)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:25:36.2 (2292261)|EXECUTION_STARTED
18:25:36.2 (2299359)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$getPrefecturePicklistValues
18:25:36.2 (4471493)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.getPrefecturePicklistValues()
18:25:36.2 (4708104)|HEAP_ALLOCATE|[95]|Bytes:3
18:25:36.2 (4818254)|HEAP_ALLOCATE|[100]|Bytes:152
18:25:36.2 (4836962)|HEAP_ALLOCATE|[417]|Bytes:408
18:25:36.2 (4863817)|HEAP_ALLOCATE|[430]|Bytes:408
18:25:36.2 (4895925)|HEAP_ALLOCATE|[317]|Bytes:6
18:25:36.2 (4910762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
18:25:36.2 (4916763)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
18:25:36.2 (4919608)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:25:36.2 (4942587)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
18:25:36.2 (4955332)|STATEMENT_EXECUTE|[5]
18:25:36.2 (4965341)|STATEMENT_EXECUTE|[5]
18:25:36.2 (4991568)|HEAP_ALLOCATE|[68]|Bytes:5
18:25:36.2 (5029498)|HEAP_ALLOCATE|[74]|Bytes:5
18:25:36.2 (5036704)|HEAP_ALLOCATE|[82]|Bytes:7
18:25:36.2 (5404211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:25:36.2 (5414989)|STATEMENT_EXECUTE|[7]
18:25:36.2 (5440777)|METHOD_EXIT|[5]|RegistrationInfoController
18:25:36.2 (5452294)|HEAP_ALLOCATE|[97]|Bytes:5
18:25:36.2 (5456068)|STATEMENT_EXECUTE|[96]
18:25:36.2 (5457837)|STATEMENT_EXECUTE|[97]
18:25:36.2 (5460813)|HEAP_ALLOCATE|[97]|Bytes:7
18:25:36.2 (5464538)|HEAP_ALLOCATE|[97]|Bytes:7
18:25:36.2 (41664539)|HEAP_ALLOCATE|[97]|Bytes:7
18:25:36.2 (41745740)|METHOD_ENTRY|[97]|01pBK000001mgyr|RegistrationInfoController.getPicklistValuesWithEmpty(Schema.SObjectField, String)
18:25:36.2 (41791029)|VARIABLE_SCOPE_BEGIN|[110]|field|Schema.SObjectField|true|false
18:25:36.2 (42035035)|VARIABLE_ASSIGNMENT|[110]|field|"common.apex.runtime.impl.ApexFieldToken@6ce55aad"|0x6ce55aad
18:25:36.2 (42045128)|VARIABLE_SCOPE_BEGIN|[110]|emptyLabel|String|false|false
18:25:36.2 (42056540)|VARIABLE_ASSIGNMENT|[110]|emptyLabel|"都道府県を選択"
18:25:36.2 (42077330)|HEAP_ALLOCATE|[111]|Bytes:5
18:25:36.2 (42112006)|STATEMENT_EXECUTE|[110]
18:25:36.2 (42113906)|STATEMENT_EXECUTE|[111]
18:25:36.2 (42137841)|HEAP_ALLOCATE|[111]|Bytes:4
18:25:36.2 (42176001)|VARIABLE_SCOPE_BEGIN|[111]|options|List<Map<String,String>>|true|false
18:25:36.2 (42223789)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:25:36.2 (42236800)|VARIABLE_ASSIGNMENT|[111]|options|[]|0x124d5e36
18:25:36.2 (42240018)|STATEMENT_EXECUTE|[112]
18:25:36.2 (42251014)|HEAP_ALLOCATE|[112]|Bytes:4
18:25:36.2 (42258551)|VARIABLE_SCOPE_BEGIN|[112]|emptyOption|Map<String,String>|true|false
18:25:36.2 (42276151)|VARIABLE_ASSIGNMENT|[112]|emptyOption|{}|0x43008338
18:25:36.2 (42279891)|STATEMENT_EXECUTE|[113]
18:25:36.2 (42290882)|HEAP_ALLOCATE|[113]|Bytes:5
18:25:36.2 (42338149)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:25:36.2 (42343737)|STATEMENT_EXECUTE|[114]
18:25:36.2 (42345644)|HEAP_ALLOCATE|[114]|Bytes:5
18:25:36.2 (42354641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:25:36.2 (42357714)|STATEMENT_EXECUTE|[115]
18:25:36.2 (42370451)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:25:36.2 (42374075)|STATEMENT_EXECUTE|[117]
18:25:36.2 (42374999)|STATEMENT_EXECUTE|[117]
18:25:36.2 (42375936)|STATEMENT_EXECUTE|[118]
18:25:36.2 (42442149)|SYSTEM_MODE_ENTER|true
18:25:36.2 (667324076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:25:36.2 (668284785)|HEAP_ALLOCATE|[118]|Bytes:8
18:25:36.2 (668378307)|VARIABLE_SCOPE_BEGIN|[118]|fieldResult|Schema.DescribeFieldResult|true|false
18:25:36.2 (670984806)|VARIABLE_ASSIGNMENT|[118]|fieldResult|"common.api.soap.wsdl.Field@4c8d70f2"|0x57fe2e18
18:25:36.2 (671101261)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:192
18:25:36.2 (671252016)|HEAP_ALLOCATE|[119]|Bytes:192
18:25:36.2 (671861315)|HEAP_ALLOCATE|[119]|Bytes:5
18:25:36.2 (671907481)|HEAP_ALLOCATE|[119]|Bytes:4
18:25:36.2 (671919913)|VARIABLE_SCOPE_BEGIN|[119]|entry|Schema.PicklistEntry|true|false
18:25:36.2 (671956984)|VARIABLE_ASSIGNMENT|[119]|entry|北海道|0x2d9667c1
18:25:36.2 (671978235)|STATEMENT_EXECUTE|[119]
18:25:36.2 (671980154)|STATEMENT_EXECUTE|[120]
18:25:36.2 (671999552)|HEAP_ALLOCATE|[120]|Bytes:4
18:25:36.2 (672012346)|VARIABLE_SCOPE_BEGIN|[120]|option|Map<String,String>|true|false
18:25:36.2 (672037011)|VARIABLE_ASSIGNMENT|[120]|option|{}|0xf68795a
18:25:36.2 (672040180)|STATEMENT_EXECUTE|[121]
18:25:36.2 (672067217)|HEAP_ALLOCATE|[121]|Bytes:3
18:25:36.2 (672140621)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
18:25:36.2 (672145594)|STATEMENT_EXECUTE|[122]
18:25:36.2 (672153287)|HEAP_ALLOCATE|[122]|Bytes:3
