66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:44:25.0 (215886)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:44:25.0 (249906)|EXECUTION_STARTED
15:44:25.0 (257841)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getJobs
15:44:25.0 (844435)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:25.0 (909195)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:25.0 (924078)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:25.0 (2312704)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getJobs(Map<String,ANY>)
15:44:25.0 (2531838)|HEAP_ALLOCATE|[95]|Bytes:3
15:44:25.0 (2571246)|HEAP_ALLOCATE|[100]|Bytes:152
15:44:25.0 (2585934)|HEAP_ALLOCATE|[417]|Bytes:408
15:44:25.0 (2599348)|HEAP_ALLOCATE|[430]|Bytes:408
15:44:25.0 (2626221)|HEAP_ALLOCATE|[317]|Bytes:6
15:44:25.0 (2681248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:44:25.0 (2686778)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:44:25.0 (2689848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:44:25.0 (2701505)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
15:44:25.0 (2708488)|STATEMENT_EXECUTE|[6]
15:44:25.0 (2713464)|STATEMENT_EXECUTE|[6]
15:44:25.0 (2736134)|HEAP_ALLOCATE|[68]|Bytes:5
15:44:25.0 (2763039)|HEAP_ALLOCATE|[74]|Bytes:5
15:44:25.0 (2770881)|HEAP_ALLOCATE|[82]|Bytes:7
15:44:25.0 (2978354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:44:25.0 (2985554)|STATEMENT_EXECUTE|[11]
15:44:25.0 (2997761)|METHOD_EXIT|[6]|JobSearchController
15:44:25.0 (3025134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
15:44:25.0 (3032189)|VARIABLE_SCOPE_BEGIN|[39]|filters|Map<String,ANY>|true|false
15:44:25.0 (3068555)|VARIABLE_ASSIGNMENT|[39]|filters|"Map of size 8 too large to display"|0x47f720e7
15:44:25.0 (3080858)|HEAP_ALLOCATE|[41]|Bytes:5
15:44:25.0 (3084207)|STATEMENT_EXECUTE|[39]
15:44:25.0 (3085142)|STATEMENT_EXECUTE|[41]
15:44:25.0 (3126976)|HEAP_ALLOCATE|[41]|Bytes:4
15:44:25.0 (3171671)|VARIABLE_SCOPE_BEGIN|[41]|favoriteJobIds|Set<Id>|true|false
15:44:25.0 (3203342)|VARIABLE_ASSIGNMENT|[41]|favoriteJobIds|[]|0x516c395
15:44:25.0 (3226170)|HEAP_ALLOCATE|[42]|Bytes:105
15:44:25.0 (3233171)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
15:44:25.0 (3235490)|STATEMENT_EXECUTE|[1]
15:44:25.0 (3239717)|SYSTEM_METHOD_EXIT|[1]|UserInfo
15:44:25.0 (3249354)|METHOD_ENTRY|[42]||System.UserInfo.getUserId()
15:44:25.0 (8377765)|METHOD_EXIT|[42]||System.UserInfo.getUserId()
15:44:25.0 (8393699)|STATEMENT_EXECUTE|[42]
15:44:25.0 (8401944)|HEAP_ALLOCATE|[43]|Bytes:102
15:44:25.0 (8428108)|HEAP_ALLOCATE|[43]|Bytes:4
15:44:25.0 (8441623)|HEAP_ALLOCATE|[43]|Bytes:7
15:44:25.0 (8450246)|METHOD_ENTRY|[46]||System.UserInfo.getUserId()
15:44:25.0 (8481858)|METHOD_EXIT|[46]||System.UserInfo.getUserId()
15:44:25.0 (9251380)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT Job__c FROM InterestedJob__c WHERE (CreatedById = :tmpVar1 AND IsArchive__c = FALSE) LIMIT 1000
15:44:25.0 (13732953)|SOQL_EXECUTE_END|[43]|Rows:4
15:44:25.0 (13759929)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
15:44:25.0 (13956718)|HEAP_ALLOCATE|[43]|Bytes:54
15:44:25.0 (13970008)|HEAP_ALLOCATE|[43]|Bytes:8
15:44:25.0 (13982484)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
15:44:25.0 (13987573)|STATEMENT_EXECUTE|[7]
15:44:25.0 (13996562)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
15:44:25.0 (14004772)|HEAP_ALLOCATE|[43]|Bytes:28
15:44:25.0 (14092363)|HEAP_ALLOCATE|[43]|Bytes:20
15:44:25.0 (14110558)|HEAP_ALLOCATE|[43]|Bytes:8
15:44:25.0 (14113993)|HEAP_ALLOCATE|[43]|Bytes:8
15:44:25.0 (14119320)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
15:44:25.0 (14165939)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x7e581650
15:44:25.0 (14171399)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
15:44:25.0 (14286080)|VARIABLE_ASSIGNMENT|[15]|values|[{"Job__c":"a0KBK00000Gexcs2AB","Id":"a0OBK000004najC2AQ"},{"Job__c":"a0KBK00000Gexdg2AB","Id":"a0OBK000004nbNV2AY"},{"Job__c":"a0KBK00000Gexcu2AB","Id":"a0OBK000004v8wE2AQ"},{"Job__c":"a0KBK00000GezgQ2AR","Id":"a0OBK0000050riz2AA"}]|0x63e2374d
15:44:25.0 (14292243)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
15:44:25.0 (14305302)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Job__c FROM I (82 more) ..."}|0x2fe1e69e
15:44:25.0 (14308578)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
15:44:25.0 (14314163)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|4
15:44:25.0 (14316819)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
15:44:25.0 (14320560)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49996
15:44:25.0 (14383730)|HEAP_ALLOCATE|[43]|Bytes:28
15:44:25.0 (14406766)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.hasNext()
15:44:25.0 (14486403)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.hasNext()
15:44:25.0 (14491804)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.next()
15:44:25.0 (14551109)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.next()
15:44:25.0 (14558284)|VARIABLE_SCOPE_BEGIN|[43]|fav|InterestedJob__c|true|false
15:44:25.0 (14591789)|VARIABLE_ASSIGNMENT|[43]|fav|{"Job__c":"a0KBK00000Gexcs2AB","Id":"a0OBK000004najC2AQ"}|0x3fc23ecb
