66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:18:51.0 (702420)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
11:18:51.0 (758526)|EXECUTION_STARTED
11:18:51.0 (791914)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001lKfR|PORTERS_BATCH_ResumeData
11:18:51.0 (1746405)|HEAP_ALLOCATE|[95]|Bytes:3
11:18:51.0 (1823348)|HEAP_ALLOCATE|[100]|Bytes:152
11:18:51.0 (1868015)|HEAP_ALLOCATE|[417]|Bytes:408
11:18:51.0 (1882620)|HEAP_ALLOCATE|[430]|Bytes:408
11:18:51.0 (1904884)|HEAP_ALLOCATE|[317]|Bytes:6
11:18:51.0 (4295502)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:80
11:18:51.0 (7943629)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
11:18:51.0 (7973366)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
11:18:51.0 (7985811)|STATEMENT_EXECUTE|[15]
11:18:51.0 (8003124)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
11:18:51.0 (8011603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:18:51.0 (8017149)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:18:51.0 (8026432)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
11:18:51.0 (8123441)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x73806195
11:18:51.0 (8127924)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
11:18:51.0 (8229993)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wtpqdYAA"
11:18:51.0 (8233156)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
11:18:51.0 (8239158)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
11:18:51.0 (12360974)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:65
11:18:51.0 (12378344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
11:18:51.0 (12390349)|METHOD_ENTRY|[1]|01pBK000001lKfR|PORTERS_BATCH_ResumeData.PORTERS_BATCH_ResumeData()
11:18:51.0 (12395124)|STATEMENT_EXECUTE|[1]
11:18:51.0 (12401939)|STATEMENT_EXECUTE|[1]
11:18:51.0 (12407234)|METHOD_EXIT|[1]|PORTERS_BATCH_ResumeData
11:18:51.0 (12412043)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
11:18:51.0 (12415390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:18:51.0 (12436772)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:18:51.0 (12442362)|VARIABLE_SCOPE_BEGIN|[30]|this|PORTERS_BATCH_ResumeData|true|false
11:18:51.0 (12509979)|VARIABLE_ASSIGNMENT|[30]|this|{"lastSyncTime":"2026-02-03T02:15:00.000Z","pageSize":200}|0x29084022
11:18:51.0 (12516157)|VARIABLE_SCOPE_BEGIN|[30]|bc|Database.BatchableContext|true|false
11:18:51.0 (12594699)|VARIABLE_ASSIGNMENT|[30]|bc|{"jobId":"707BK00000wtpqdYAA"}|0x73806195
11:18:51.0 (12599015)|VARIABLE_SCOPE_BEGIN|[30]|scope|List<Integer>|true|false
11:18:51.0 (12611536)|VARIABLE_ASSIGNMENT|[30]|scope|[0]|0x2605cee9
11:18:51.0 (12621264)|STATEMENT_EXECUTE|[30]
11:18:51.0 (12622778)|STATEMENT_EXECUTE|[32]
