66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:43:23.0 (340745)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:43:23.0 (416102)|EXECUTION_STARTED
18:43:23.0 (447317)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$updateRegistrationInfo
18:43:23.0 (11560840)|HEAP_ALLOCATE|[95]|Bytes:3
18:43:23.0 (11690588)|HEAP_ALLOCATE|[100]|Bytes:152
18:43:23.0 (11710553)|HEAP_ALLOCATE|[417]|Bytes:408
18:43:23.0 (11727104)|HEAP_ALLOCATE|[430]|Bytes:408
18:43:23.0 (11747491)|HEAP_ALLOCATE|[317]|Bytes:6
18:43:23.0 (11758689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:432
18:43:23.0 (11762233)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:51
18:43:23.0 (11768191)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (11785209)|VARIABLE_SCOPE_BEGIN|[7]|this|RegistrationInfoController.RegistrationInfoWrapper|true|false
18:43:23.0 (11887929)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x421d1a41
18:43:23.0 (11899669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
18:43:23.0 (17104719)|STATEMENT_EXECUTE|[7]
18:43:23.0 (17111544)|STATEMENT_EXECUTE|[8]
18:43:23.0 (17113598)|STATEMENT_EXECUTE|[9]
18:43:23.0 (17114977)|STATEMENT_EXECUTE|[10]
18:43:23.0 (17116351)|STATEMENT_EXECUTE|[11]
18:43:23.0 (17117661)|STATEMENT_EXECUTE|[12]
18:43:23.0 (17119211)|STATEMENT_EXECUTE|[13]
18:43:23.0 (17120992)|STATEMENT_EXECUTE|[14]
18:43:23.0 (17122241)|STATEMENT_EXECUTE|[15]
18:43:23.0 (17124216)|STATEMENT_EXECUTE|[16]
18:43:23.0 (17125774)|STATEMENT_EXECUTE|[17]
18:43:23.0 (17127162)|STATEMENT_EXECUTE|[18]
18:43:23.0 (17128685)|STATEMENT_EXECUTE|[19]
18:43:23.0 (17130121)|STATEMENT_EXECUTE|[20]
18:43:23.0 (17131643)|STATEMENT_EXECUTE|[21]
18:43:23.0 (17133079)|STATEMENT_EXECUTE|[22]
18:43:23.0 (17134677)|STATEMENT_EXECUTE|[23]
18:43:23.0 (17135774)|STATEMENT_EXECUTE|[24]
18:43:23.0 (17136992)|STATEMENT_EXECUTE|[25]
18:43:23.0 (17215077)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:43:23.0 (17232963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17284196)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.lastName|"テスト 廣川111"|0x421d1a41
18:43:23.0 (17304757)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
18:43:23.0 (17307770)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17313042)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.companyCount|"2"|0x421d1a41
18:43:23.0 (17321638)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:43:23.0 (17323987)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17328687)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.birthdate|"2026-04-24"|0x421d1a41
18:43:23.0 (17336283)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
18:43:23.0 (17338596)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17343932)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.address|"市区町村（都道府県以下の住所）213"|0x421d1a41
18:43:23.0 (17352081)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:43:23.0 (17354520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17358985)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.education|"大学院卒（修士）"|0x421d1a41
18:43:23.0 (17366588)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
18:43:23.0 (17368954)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17373812)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.gender|"男性"|0x421d1a41
18:43:23.0 (17382540)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
18:43:23.0 (17384876)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17389174)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.prefecture|"宮城県"|0x421d1a41
18:43:23.0 (17396477)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:43:23.0 (17398984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17403515)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.postalCode|"123-4777"|0x421d1a41
18:43:23.0 (17410335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
18:43:23.0 (17412746)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17417122)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.employmentStatus|"就業経験なし"|0x421d1a41
18:43:23.0 (17433109)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
18:43:23.0 (17435660)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17441635)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.recordId|"001BK00000cc2ZEYAY"|0x421d1a41
18:43:23.0 (17448897)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
18:43:23.0 (17451315)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17455657)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.firstName|"名11111"|0x421d1a41
18:43:23.0 (17462589)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:43:23.0 (17464806)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17469632)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.license|"免許・資格11"|0x421d1a41
18:43:23.0 (17476703)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:43:23.0 (17478945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17483888)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.kanaSei|"ふりがな(姓)11"|0x421d1a41
18:43:23.0 (17490911)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:43:23.0 (17493301)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17497340)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.kanaMei|"ふりがな(名)1111"|0x421d1a41
18:43:23.0 (17504208)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:43:23.0 (17506550)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17510781)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.phone|"5515"|0x421d1a41
18:43:23.0 (17519047)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:43:23.0 (17521671)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17527225)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.school|"学校名/学部名/学科11"|0x421d1a41
18:43:23.0 (17534782)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:43:23.0 (17536991)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17541209)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.managementExperience|"false"|0x421d1a41
18:43:23.0 (17548868)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
18:43:23.0 (17551239)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (17556056)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.remarks|"その他11111111111"|0x421d1a41
18:43:23.0 (20139090)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.updateRegistrationInfo(RegistrationInfoController.RegistrationInfoWrapper)
18:43:23.0 (20466214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
18:43:23.0 (20479831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
18:43:23.0 (20482038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:43:23.0 (20510249)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
18:43:23.0 (20520647)|STATEMENT_EXECUTE|[5]
18:43:23.0 (20525293)|STATEMENT_EXECUTE|[5]
18:43:23.0 (20549829)|HEAP_ALLOCATE|[68]|Bytes:5
18:43:23.0 (20597756)|HEAP_ALLOCATE|[74]|Bytes:5
18:43:23.0 (20615851)|HEAP_ALLOCATE|[82]|Bytes:7
18:43:23.0 (20655945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:43:23.0 (20661233)|STATEMENT_EXECUTE|[7]
18:43:23.0 (20674932)|METHOD_EXIT|[5]|RegistrationInfoController
18:43:23.0 (20680767)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:43:23.0 (20693272)|VARIABLE_SCOPE_BEGIN|[54]|wrapper|RegistrationInfoController.RegistrationInfoWrapper|true|false
18:43:23.0 (20780428)|VARIABLE_ASSIGNMENT|[54]|wrapper|{"address":"市区町村（都道府県以下の住所）213","birthdate":"2026-04-24","companyCount":"2","education":"大学院卒（修士）","employmentStatus":"就業経験なし","firstName":"名11111","gender":"男性","kanaMei":"ふりがな(名)1111","kanaSei":"ふりがな(姓)11","lastName":"テスト 廣川111","license":"免許・資格11","managementExperience":"false","phone":"5515","postalCode":"123-4777","prefecture":"宮城県","recordId":"001BK00000cc2ZEYAY","remarks":"その他11111111111","school":"学校名/学部名/学科11"}|0x421d1a41
18:43:23.0 (20805991)|HEAP_ALLOCATE|[55]|Bytes:5
18:43:23.0 (20810163)|STATEMENT_EXECUTE|[54]
18:43:23.0 (20955937)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"address":"市区町村（都道府県以下の住所）213","birthdate":"2026-04-24","companyCount":"2","education":"大学院卒（修士）","employmentStatus":"就業経験なし","firstName":"名11111","gender":"男性","kanaMei":"ふりがな(名)1111","kanaSei":"ふりがな(姓)11","lastName":"テスト 廣川111","license":"免許・資格11","managementExperience":"false","phone":"5515","postalCode":"123-4777","prefecture":"宮城県","recordId":"001BK00000cc2ZEYAY","remarks":"その他11111111111","school":"学校名/学部名/学科11"}|0x421d1a41
18:43:23.0 (21038365)|STATEMENT_EXECUTE|[55]
18:43:23.0 (21042401)|STATEMENT_EXECUTE|[59]
18:43:23.0 (21043597)|STATEMENT_EXECUTE|[59]
18:43:23.0 (21044949)|STATEMENT_EXECUTE|[60]
18:43:23.0 (21048624)|HEAP_ALLOCATE|[60]|Bytes:50
18:43:23.0 (21078442)|HEAP_ALLOCATE|[60]|Bytes:4
18:43:23.0 (21092949)|HEAP_ALLOCATE|[60]|Bytes:7
18:43:23.0 (21139430)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"address":"市区町村（都道府県以下の住所）213","birthdate":"2026-04-24","companyCount":"2","education":"大学院卒（修士）","employmentStatus":"就業経験なし","firstName":"名11111","gender":"男性","kanaMei":"ふりがな(名)1111","kanaSei":"ふりがな(姓)11","lastName":"テスト 廣川111","license":"免許・資格11","managementExperience":"false","phone":"5515","postalCode":"123-4777","prefecture":"宮城県","recordId":"001BK00000cc2ZEYAY","remarks":"その他11111111111","school":"学校名/学部名/学科11"}|0x421d1a41
18:43:23.0 (22647694)|SOQL_EXECUTE_BEGIN|[60]|Aggregations:0|SELECT Id FROM Account WHERE Id = :tmpVar1 LIMIT 1
18:43:23.0 (30359612)|SOQL_EXECUTE_END|[60]|Rows:1
18:43:23.0 (30398624)|HEAP_ALLOCATE|[60]|Bytes:8
18:43:23.0 (30417083)|HEAP_ALLOCATE|[60]|Bytes:29
18:43:23.0 (30570702)|HEAP_ALLOCATE|[60]|Bytes:8
18:43:23.0 (30587248)|HEAP_ALLOCATE|[60]|Bytes:33
18:43:23.0 (30664389)|HEAP_ALLOCATE|[60]|Bytes:8
18:43:23.0 (30671285)|VARIABLE_SCOPE_BEGIN|[60]|acc|Account|true|false
18:43:23.0 (30736681)|VARIABLE_ASSIGNMENT|[60]|acc|{"Id":"001BK00000cc2ZEYAY"}|0x3362ae40
18:43:23.0 (30741552)|STATEMENT_EXECUTE|[62]
