66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:27:55.0 (245234)|USER_INFO|[EXTERNAL]|005BK00000Ilvi1|foryoze@owleyes.ch.hurex|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:27:55.0 (332420)|EXECUTION_STARTED
18:27:55.0 (345269)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
18:27:55.0 (2693680)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
18:27:55.0 (2983645)|HEAP_ALLOCATE|[95]|Bytes:3
18:27:55.0 (3066114)|HEAP_ALLOCATE|[100]|Bytes:152
18:27:55.0 (3083456)|HEAP_ALLOCATE|[417]|Bytes:408
18:27:55.0 (3098212)|HEAP_ALLOCATE|[430]|Bytes:408
18:27:55.0 (3122071)|HEAP_ALLOCATE|[317]|Bytes:6
18:27:55.0 (3133173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:27:55.0 (3137293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:46
18:27:55.0 (3148465)|METHOD_ENTRY|[5]|01pBK000001SmE1|JobSearchController.JobSearchController()
18:27:55.0 (3152803)|STATEMENT_EXECUTE|[5]
18:27:55.0 (3157414)|STATEMENT_EXECUTE|[5]
18:27:55.0 (3178792)|HEAP_ALLOCATE|[68]|Bytes:5
18:27:55.0 (3203160)|HEAP_ALLOCATE|[74]|Bytes:5
18:27:55.0 (3209250)|HEAP_ALLOCATE|[82]|Bytes:7
18:27:55.0 (3384466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:27:55.0 (3388781)|STATEMENT_EXECUTE|[7]
18:27:55.0 (3397393)|METHOD_EXIT|[5]|JobSearchController
18:27:55.0 (3407863)|HEAP_ALLOCATE|[137]|Bytes:5
18:27:55.0 (3411001)|STATEMENT_EXECUTE|[136]
18:27:55.0 (3412473)|STATEMENT_EXECUTE|[137]
18:27:55.0 (3422983)|HEAP_ALLOCATE|[137]|Bytes:4
18:27:55.0 (3432093)|HEAP_ALLOCATE|[138]|Bytes:13
18:27:55.0 (3444958)|METHOD_ENTRY|[138]|01pBK000001SmE1|JobSearchController.getJobCategories()
18:27:55.0 (3503106)|HEAP_ALLOCATE|[147]|Bytes:5
18:27:55.0 (3506233)|STATEMENT_EXECUTE|[146]
18:27:55.0 (3507441)|STATEMENT_EXECUTE|[147]
18:27:55.0 (3518621)|HEAP_ALLOCATE|[147]|Bytes:4
18:27:55.0 (3545026)|VARIABLE_SCOPE_BEGIN|[147]|categories|List<Map<String,String>>|true|false
18:27:55.0 (3581508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:55.0 (3620506)|VARIABLE_ASSIGNMENT|[147]|categories|[]|0x7c33e50a
18:27:55.0 (3626321)|HEAP_ALLOCATE|[148]|Bytes:215
18:27:55.0 (3631906)|HEAP_ALLOCATE|[148]|Bytes:4
18:27:55.0 (7644382)|SOQL_EXECUTE_BEGIN|[148]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
18:27:55.0 (51431035)|SOQL_EXECUTE_END|[148]|Rows:51
18:27:55.0 (51481798)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
18:27:55.0 (51831307)|HEAP_ALLOCATE|[148]|Bytes:54
18:27:55.0 (51843209)|HEAP_ALLOCATE|[148]|Bytes:8
18:27:55.0 (51861371)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
18:27:55.0 (51865874)|STATEMENT_EXECUTE|[7]
18:27:55.0 (51899137)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
18:27:55.0 (51909226)|HEAP_ALLOCATE|[148]|Bytes:28
18:27:55.0 (52021937)|HEAP_ALLOCATE|[148]|Bytes:208
18:27:55.0 (52057564)|HEAP_ALLOCATE|[148]|Bytes:8
18:27:55.0 (52061663)|HEAP_ALLOCATE|[148]|Bytes:8
18:27:55.0 (52069414)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
18:27:55.0 (52154647)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x561fa64c
18:27:55.0 (52158718)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
18:27:55.0 (52176282)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x2dbf58ac
18:27:55.0 (52179619)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
18:27:55.0 (52206121)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x376f3546
18:27:55.0 (52209245)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
18:27:55.0 (52216129)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
18:27:55.0 (52218372)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
18:27:55.0 (52221939)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
18:27:55.0 (54101681)|HEAP_ALLOCATE|[148]|Bytes:28
18:27:55.0 (54172036)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54325909)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54336935)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (54448658)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (54459301)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
18:27:55.0 (54626856)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0x70a1eb4f
18:27:55.0 (54638714)|STATEMENT_EXECUTE|[152]
18:27:55.0 (54640601)|STATEMENT_EXECUTE|[153]
18:27:55.0 (54667129)|HEAP_ALLOCATE|[153]|Bytes:4
18:27:55.0 (54683518)|HEAP_ALLOCATE|[154]|Bytes:15
18:27:55.0 (54784672)|HEAP_ALLOCATE|[154]|Bytes:3
18:27:55.0 (54814243)|HEAP_ALLOCATE|[155]|Bytes:21
18:27:55.0 (54826565)|HEAP_ALLOCATE|[155]|Bytes:6
18:27:55.0 (54846243)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:55.0 (54855382)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54873114)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54876145)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (54912462)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (54916378)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
18:27:55.0 (54935634)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"営業(個人)","JobCategory1__c":"営業系"}|0x5d64366c
18:27:55.0 (54939445)|STATEMENT_EXECUTE|[152]
18:27:55.0 (54940382)|STATEMENT_EXECUTE|[153]
18:27:55.0 (54945379)|HEAP_ALLOCATE|[153]|Bytes:4
18:27:55.0 (54955298)|HEAP_ALLOCATE|[154]|Bytes:3
18:27:55.0 (54966876)|HEAP_ALLOCATE|[155]|Bytes:6
18:27:55.0 (54975499)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:55.0 (54979609)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54988125)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (54990547)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (55012326)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (55016002)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
18:27:55.0 (55028594)|VARIABLE_ASSIGNMENT|[148]|ar|{"JobCategoryDetail1__c":"代理店営業","JobCategory1__c":"営業系"}|0x32094a3d
18:27:55.0 (55031822)|STATEMENT_EXECUTE|[152]
18:27:55.0 (55032596)|STATEMENT_EXECUTE|[153]
18:27:55.0 (55035262)|HEAP_ALLOCATE|[153]|Bytes:4
18:27:55.0 (55042462)|HEAP_ALLOCATE|[154]|Bytes:3
18:27:55.0 (55052700)|HEAP_ALLOCATE|[155]|Bytes:5
18:27:55.0 (55060748)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:55.0 (55064470)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (55072453)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.hasNext()
18:27:55.0 (55074679)|METHOD_ENTRY|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (55094582)|METHOD_EXIT|[148]||Database.QueryLocatorIterator.next()
18:27:55.0 (55096704)|VARIABLE_SCOPE_BEGIN|[148]|ar|AggregateResult|true|false
