66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:53:45.1 (1533858)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:53:45.1 (1567258)|EXECUTION_STARTED
18:53:45.1 (1576282)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$getPrefecturePicklistValues
18:53:45.1 (3263309)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.getPrefecturePicklistValues()
18:53:45.1 (7456202)|HEAP_ALLOCATE|[95]|Bytes:3
18:53:45.1 (7550392)|HEAP_ALLOCATE|[100]|Bytes:152
18:53:45.1 (7564733)|HEAP_ALLOCATE|[417]|Bytes:408
18:53:45.1 (7575124)|HEAP_ALLOCATE|[430]|Bytes:408
18:53:45.1 (7593820)|HEAP_ALLOCATE|[317]|Bytes:6
18:53:45.1 (7604889)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
18:53:45.1 (7609517)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:37
18:53:45.1 (7611964)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:53:45.1 (7625282)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
18:53:45.1 (7633215)|STATEMENT_EXECUTE|[5]
18:53:45.1 (7638859)|STATEMENT_EXECUTE|[5]
18:53:45.1 (7662435)|HEAP_ALLOCATE|[68]|Bytes:5
18:53:45.1 (7686395)|HEAP_ALLOCATE|[74]|Bytes:5
18:53:45.1 (7690928)|HEAP_ALLOCATE|[82]|Bytes:7
18:53:45.1 (7844485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:53:45.1 (7848131)|STATEMENT_EXECUTE|[8]
18:53:45.1 (7857023)|METHOD_EXIT|[5]|RegistrationInfoController
18:53:45.1 (7869754)|HEAP_ALLOCATE|[113]|Bytes:5
18:53:45.1 (7872295)|STATEMENT_EXECUTE|[111]
18:53:45.1 (7873343)|STATEMENT_EXECUTE|[113]
