66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:38:10.0 (167490)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:38:10.0 (202579)|EXECUTION_STARTED
17:38:10.0 (212568)|CODE_UNIT_STARTED|[EXTERNAL]|JobCardsController
17:38:10.0 (232186)|SYSTEM_MODE_ENTER|true
17:38:10.0 (434224)|HEAP_ALLOCATE|[95]|Bytes:3
17:38:10.0 (477802)|HEAP_ALLOCATE|[100]|Bytes:152
17:38:10.0 (492716)|HEAP_ALLOCATE|[417]|Bytes:408
17:38:10.0 (503085)|HEAP_ALLOCATE|[430]|Bytes:408
17:38:10.0 (522737)|HEAP_ALLOCATE|[317]|Bytes:6
17:38:10.0 (989959)|CODE_UNIT_FINISHED|JobCardsController
17:38:10.0 (997411)|EXECUTION_FINISHED
