66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:36:44.0 (284309)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:36:44.0 (340067)|EXECUTION_STARTED
17:36:44.0 (361439)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$getPrefecturePicklistValues
17:36:44.0 (2017016)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.getPrefecturePicklistValues()
17:36:44.0 (2352573)|HEAP_ALLOCATE|[95]|Bytes:3
17:36:44.0 (2454808)|HEAP_ALLOCATE|[100]|Bytes:152
17:36:44.0 (2472812)|HEAP_ALLOCATE|[417]|Bytes:408
17:36:44.0 (2488817)|HEAP_ALLOCATE|[430]|Bytes:408
17:36:44.0 (2509345)|HEAP_ALLOCATE|[317]|Bytes:6
17:36:44.0 (2519812)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
17:36:44.0 (2522567)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
17:36:44.0 (2524248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:36:44.0 (2544833)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
17:36:44.0 (2558652)|STATEMENT_EXECUTE|[5]
17:36:44.0 (2564586)|STATEMENT_EXECUTE|[5]
17:36:44.0 (2587045)|HEAP_ALLOCATE|[68]|Bytes:5
17:36:44.0 (2615659)|HEAP_ALLOCATE|[74]|Bytes:5
17:36:44.0 (2620860)|HEAP_ALLOCATE|[82]|Bytes:7
17:36:44.0 (2781721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:36:44.0 (2788463)|STATEMENT_EXECUTE|[7]
17:36:44.0 (2803989)|METHOD_EXIT|[5]|RegistrationInfoController
17:36:44.0 (2816780)|HEAP_ALLOCATE|[96]|Bytes:5
