66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:00:20.2 (2415702)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
12:00:20.2 (2488967)|EXECUTION_STARTED
12:00:20.2 (2607701)|CODE_UNIT_STARTED|[EXTERNAL]|apex://PicklistController/ACTION$getPicklistOptions
12:00:20.2 (6327175)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001iHe5|PicklistController.getPicklistOptions(String, String)
12:00:20.2 (9484890)|HEAP_ALLOCATE|[95]|Bytes:3
12:00:20.2 (9659894)|HEAP_ALLOCATE|[100]|Bytes:152
12:00:20.2 (9682224)|HEAP_ALLOCATE|[417]|Bytes:408
12:00:20.2 (9700680)|HEAP_ALLOCATE|[430]|Bytes:408
12:00:20.2 (9733937)|HEAP_ALLOCATE|[317]|Bytes:6
12:00:20.2 (9750497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
12:00:20.2 (9777229)|METHOD_ENTRY|[1]|01pBK000001iHe5|PicklistController.PicklistController()
12:00:20.2 (9821677)|STATEMENT_EXECUTE|[1]
12:00:20.2 (9837326)|STATEMENT_EXECUTE|[1]
12:00:20.2 (9865840)|HEAP_ALLOCATE|[68]|Bytes:5
12:00:20.2 (9914226)|HEAP_ALLOCATE|[74]|Bytes:5
12:00:20.2 (9942960)|HEAP_ALLOCATE|[82]|Bytes:7
12:00:20.2 (10179710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
12:00:20.2 (10212025)|METHOD_EXIT|[1]|PicklistController
12:00:20.2 (10218578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
12:00:20.2 (10221765)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
12:00:20.2 (10237480)|VARIABLE_SCOPE_BEGIN|[3]|objectName|String|false|false
12:00:20.2 (10307111)|VARIABLE_ASSIGNMENT|[3]|objectName|"Account"
12:00:20.2 (10319079)|VARIABLE_SCOPE_BEGIN|[3]|fieldName|String|false|false
12:00:20.2 (10330574)|VARIABLE_ASSIGNMENT|[3]|fieldName|"FinalEducationLevel_ (3 more) ..."
12:00:20.2 (10345506)|HEAP_ALLOCATE|[4]|Bytes:5
12:00:20.2 (10350381)|STATEMENT_EXECUTE|[3]
12:00:20.2 (10352697)|STATEMENT_EXECUTE|[4]
12:00:20.2 (10378546)|HEAP_ALLOCATE|[4]|Bytes:4
12:00:20.2 (10477477)|VARIABLE_SCOPE_BEGIN|[4]|options|List<Map<String,String>>|true|false
12:00:20.2 (10574582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:00:20.2 (10601961)|VARIABLE_ASSIGNMENT|[4]|options|[]|0x3ed68985
12:00:20.2 (10608773)|STATEMENT_EXECUTE|[5]
12:00:20.2 (150417717)|HEAP_ALLOCATE|[5]|Bytes:5300
12:00:20.2 (150473265)|VARIABLE_SCOPE_BEGIN|[5]|globalDescribe|Map<String,Schema.SObjectType>|true|false
12:00:20.2 (151437494)|VARIABLE_ASSIGNMENT|[5]|globalDescribe|"{acceptedeventrelation=AcceptedEventRelation, account=Account, accountbrand=AccountBrand, accountbrandshare=AccountBrandShare, accountchangeevent=AccountChangeEvent, accountcontactrole=AccountContactRole, accountcontactrolechangeevent=AccountContactRoleChangeEvent, accountfeed=AccountFeed, accounthistory=AccountHistory, accountpartner=AccountPartner, ...}"|0x36091e97
12:00:20.2 (151460406)|STATEMENT_EXECUTE|[6]
12:00:20.2 (151579800)|VARIABLE_SCOPE_BEGIN|[6]|objType|Schema.SObjectType|true|false
12:00:20.2 (151682400)|VARIABLE_ASSIGNMENT|[6]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@36b34865"|0x36b34865
12:00:20.2 (151688860)|STATEMENT_EXECUTE|[7]
12:00:20.2 (151690401)|STATEMENT_EXECUTE|[10]
