66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:34:24.0 (199163)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
17:34:24.0 (248122)|EXECUTION_STARTED
17:34:24.0 (261904)|CODE_UNIT_STARTED|[EXTERNAL]|JobCardsController
17:34:24.0 (297263)|SYSTEM_MODE_ENTER|true
17:34:24.0 (593993)|HEAP_ALLOCATE|[95]|Bytes:3
17:34:24.0 (659723)|HEAP_ALLOCATE|[100]|Bytes:152
17:34:24.0 (682451)|HEAP_ALLOCATE|[417]|Bytes:408
17:34:24.0 (703808)|HEAP_ALLOCATE|[430]|Bytes:408
17:34:24.0 (733319)|HEAP_ALLOCATE|[317]|Bytes:6
17:34:24.0 (1197113)|CODE_UNIT_FINISHED|JobCardsController
17:34:24.0 (1209643)|EXECUTION_FINISHED
