66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:37:00.0 (200948)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
13:37:00.0 (240311)|EXECUTION_STARTED
13:37:00.0 (250731)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
13:37:00.0 (1102228)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
13:37:00.0 (1286660)|HEAP_ALLOCATE|[95]|Bytes:3
13:37:00.0 (1349129)|HEAP_ALLOCATE|[100]|Bytes:152
13:37:00.0 (1363133)|HEAP_ALLOCATE|[417]|Bytes:408
13:37:00.0 (1373910)|HEAP_ALLOCATE|[430]|Bytes:408
13:37:00.0 (1393691)|HEAP_ALLOCATE|[317]|Bytes:6
13:37:00.0 (1439216)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
13:37:00.0 (1442333)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
13:37:00.0 (1444021)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
13:37:00.0 (1452647)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
13:37:00.0 (1457219)|STATEMENT_EXECUTE|[6]
13:37:00.0 (1460981)|STATEMENT_EXECUTE|[6]
13:37:00.0 (1476871)|HEAP_ALLOCATE|[68]|Bytes:5
13:37:00.0 (1496132)|HEAP_ALLOCATE|[74]|Bytes:5
13:37:00.0 (1501287)|HEAP_ALLOCATE|[82]|Bytes:7
13:37:00.0 (1648985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
13:37:00.0 (1652318)|STATEMENT_EXECUTE|[11]
13:37:00.0 (1660101)|METHOD_EXIT|[6]|JobSearchController
13:37:00.0 (1668708)|HEAP_ALLOCATE|[203]|Bytes:5
13:37:00.0 (1671091)|STATEMENT_EXECUTE|[202]
13:37:00.0 (1672111)|STATEMENT_EXECUTE|[203]
13:37:00.0 (1688675)|HEAP_ALLOCATE|[203]|Bytes:4
13:37:00.0 (1697301)|HEAP_ALLOCATE|[204]|Bytes:13
13:37:00.0 (1706579)|METHOD_ENTRY|[204]|01pBK000001SmE1|JobSearchController.getJobCategories()
13:37:00.0 (1729246)|HEAP_ALLOCATE|[218]|Bytes:5
13:37:00.0 (1732494)|STATEMENT_EXECUTE|[217]
13:37:00.0 (1733579)|STATEMENT_EXECUTE|[218]
13:37:00.0 (1761364)|HEAP_ALLOCATE|[218]|Bytes:4
13:37:00.0 (1786376)|VARIABLE_SCOPE_BEGIN|[218]|categories|List<Map<String,String>>|true|false
13:37:00.0 (1839214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:37:00.0 (1874566)|VARIABLE_ASSIGNMENT|[218]|categories|[]|0x6b29b062
13:37:00.0 (1880634)|HEAP_ALLOCATE|[219]|Bytes:215
13:37:00.0 (1885963)|HEAP_ALLOCATE|[219]|Bytes:4
13:37:00.0 (2807225)|SOQL_EXECUTE_BEGIN|[219]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
13:37:00.0 (29518200)|SOQL_EXECUTE_END|[219]|Rows:51
13:37:00.0 (29571353)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
13:37:00.0 (29890186)|HEAP_ALLOCATE|[219]|Bytes:54
13:37:00.0 (29902424)|HEAP_ALLOCATE|[219]|Bytes:8
13:37:00.0 (29918399)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
13:37:00.0 (29923660)|STATEMENT_EXECUTE|[7]
13:37:00.0 (29937977)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
13:37:00.0 (29948986)|HEAP_ALLOCATE|[219]|Bytes:28
13:37:00.0 (30056403)|HEAP_ALLOCATE|[219]|Bytes:208
13:37:00.0 (30071404)|HEAP_ALLOCATE|[219]|Bytes:8
13:37:00.0 (30074550)|HEAP_ALLOCATE|[219]|Bytes:8
13:37:00.0 (30082000)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
13:37:00.0 (30142915)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x676bfeff
13:37:00.0 (30148835)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
13:37:00.0 (30167228)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x3e952d
13:37:00.0 (30171957)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
13:37:00.0 (30190301)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x5f091271
13:37:00.0 (30194316)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
13:37:00.0 (30202295)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
13:37:00.0 (30206085)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
13:37:00.0 (30213070)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49949
13:37:00.0 (33264841)|HEAP_ALLOCATE|[219]|Bytes:28
13:37:00.0 (33315097)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (33433352)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (33442695)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (33545145)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (33552940)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
13:37:00.0 (33657201)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(法人)","JobCategory1__c":"営業系"}|0xbf9c911
13:37:00.0 (33664936)|STATEMENT_EXECUTE|[225]
13:37:00.0 (33666261)|STATEMENT_EXECUTE|[226]
13:37:00.0 (33689366)|HEAP_ALLOCATE|[226]|Bytes:4
13:37:00.0 (33702114)|HEAP_ALLOCATE|[227]|Bytes:15
13:37:00.0 (33794308)|HEAP_ALLOCATE|[227]|Bytes:3
13:37:00.0 (33822649)|HEAP_ALLOCATE|[228]|Bytes:21
13:37:00.0 (33846800)|HEAP_ALLOCATE|[228]|Bytes:6
13:37:00.0 (33867945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:37:00.0 (33876079)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (33888930)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (33891611)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (33924439)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (33929038)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
13:37:00.0 (34102659)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"営業(個人)","JobCategory1__c":"営業系"}|0x2a8ddae9
13:37:00.0 (34110792)|STATEMENT_EXECUTE|[225]
13:37:00.0 (34112014)|STATEMENT_EXECUTE|[226]
13:37:00.0 (34122818)|HEAP_ALLOCATE|[226]|Bytes:4
13:37:00.0 (34144442)|HEAP_ALLOCATE|[227]|Bytes:3
13:37:00.0 (34158534)|HEAP_ALLOCATE|[228]|Bytes:6
13:37:00.0 (34169244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:37:00.0 (34175702)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (34189029)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.hasNext()
13:37:00.0 (34191854)|METHOD_ENTRY|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (34219496)|METHOD_EXIT|[219]||Database.QueryLocatorIterator.next()
13:37:00.0 (34222222)|VARIABLE_SCOPE_BEGIN|[219]|ar|AggregateResult|true|false
13:37:00.0 (34234763)|VARIABLE_ASSIGNMENT|[219]|ar|{"JobCategoryDetail1__c":"代理店営業","JobCategory1__c":"営業系"}|0xdc88a6
13:37:00.0 (34238534)|STATEMENT_EXECUTE|[225]
13:37:00.0 (34239399)|STATEMENT_EXECUTE|[226]
