66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:19:30.0 (666048)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:19:30.0 (705582)|EXECUTION_STARTED
18:19:30.0 (723611)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001eV2v|PORTERSIncrementalSyncBatch
18:19:30.0 (3405848)|HEAP_ALLOCATE|[95]|Bytes:3
18:19:30.0 (3497212)|HEAP_ALLOCATE|[100]|Bytes:152
18:19:30.0 (3515346)|HEAP_ALLOCATE|[417]|Bytes:408
18:19:30.0 (3530972)|HEAP_ALLOCATE|[430]|Bytes:408
18:19:30.0 (3558988)|HEAP_ALLOCATE|[317]|Bytes:6
18:19:30.0 (10020752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:108
18:19:30.0 (12134840)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:19:30.0 (12166364)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
18:19:30.0 (12172730)|STATEMENT_EXECUTE|[15]
18:19:30.0 (12189279)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
18:19:30.0 (12196701)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:19:30.0 (12201039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:19:30.0 (12207634)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
18:19:30.0 (12300940)|VARIABLE_ASSIGNMENT|[31]|this|{}|0xafb1826
18:19:30.0 (12306915)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
18:19:30.0 (12423010)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wdKx3YAE"
18:19:30.0 (12428470)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
18:19:30.0 (12436747)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
18:19:30.0 (17279605)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:75
18:19:30.0 (17296347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:19:30.0 (17305830)|METHOD_ENTRY|[7]|01pBK000001eV2v|PORTERSIncrementalSyncBatch.PORTERSIncrementalSyncBatch()
18:19:30.0 (17310901)|STATEMENT_EXECUTE|[7]
18:19:30.0 (17315136)|STATEMENT_EXECUTE|[7]
18:19:30.0 (17318822)|METHOD_EXIT|[7]|PORTERSIncrementalSyncBatch
18:19:30.0 (17322717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:19:30.0 (17325066)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:19:30.0 (17408196)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:19:30.0 (17413719)|VARIABLE_SCOPE_BEGIN|[46]|this|PORTERSIncrementalSyncBatch|true|false
18:19:30.0 (17473970)|VARIABLE_ASSIGNMENT|[46]|this|{"startTime":"2026-03-31T09:19:23.557Z","syncResult":"0x1349e630"}|0x2138ae12
18:19:30.0 (17477958)|VARIABLE_SCOPE_BEGIN|[46]|bc|Database.BatchableContext|true|false
18:19:30.0 (17532311)|VARIABLE_ASSIGNMENT|[46]|bc|{"jobId":"707BK00000wdKx3YAE"}|0xafb1826
18:19:30.0 (17536534)|VARIABLE_SCOPE_BEGIN|[46]|scope|List<SObject>|true|false
18:19:30.0 (17580856)|VARIABLE_ASSIGNMENT|[46]|scope|[{}]|0x29801b76
