66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:35:38.2 (2209975)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:35:38.2 (2274052)|EXECUTION_STARTED
18:35:38.2 (2298873)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001eV2v|PORTERSIncrementalSyncBatch
18:35:38.2 (4445266)|HEAP_ALLOCATE|[95]|Bytes:3
18:35:38.2 (4544898)|HEAP_ALLOCATE|[100]|Bytes:152
18:35:38.2 (4559352)|HEAP_ALLOCATE|[417]|Bytes:408
18:35:38.2 (4570162)|HEAP_ALLOCATE|[430]|Bytes:408
18:35:38.2 (4590724)|HEAP_ALLOCATE|[317]|Bytes:6
18:35:38.2 (9720949)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:108
18:35:38.2 (18660696)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:35:38.2 (18708446)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
18:35:38.2 (18719821)|STATEMENT_EXECUTE|[15]
18:35:38.2 (18742462)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
18:35:38.2 (18751531)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:35:38.2 (18755656)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (18773534)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
18:35:38.2 (18884768)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x2cee8756
18:35:38.2 (18889434)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
18:35:38.2 (18990659)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wdCSVYA2"
18:35:38.2 (18994243)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
18:35:38.2 (18999978)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
18:35:38.2 (22984483)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:75
18:35:38.2 (23001237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:35:38.2 (23010002)|METHOD_ENTRY|[7]|01pBK000001eV2v|PORTERSIncrementalSyncBatch.PORTERSIncrementalSyncBatch()
18:35:38.2 (23015629)|STATEMENT_EXECUTE|[7]
18:35:38.2 (23019925)|STATEMENT_EXECUTE|[7]
18:35:38.2 (23022759)|METHOD_EXIT|[7]|PORTERSIncrementalSyncBatch
18:35:38.2 (23026135)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:35:38.2 (23028144)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:35:38.2 (23106296)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:35:38.2 (23115686)|VARIABLE_SCOPE_BEGIN|[46]|this|PORTERSIncrementalSyncBatch|true|false
18:35:38.2 (23195237)|VARIABLE_ASSIGNMENT|[46]|this|{"startTime":"2026-03-31T09:35:37.686Z","syncResult":"0x15fedc06"}|0x305e3402
18:35:38.2 (23199626)|VARIABLE_SCOPE_BEGIN|[46]|bc|Database.BatchableContext|true|false
18:35:38.2 (23252636)|VARIABLE_ASSIGNMENT|[46]|bc|{"jobId":"707BK00000wdCSVYA2"}|0x2cee8756
18:35:38.2 (23256368)|VARIABLE_SCOPE_BEGIN|[46]|scope|List<SObject>|true|false
18:35:38.2 (23274928)|VARIABLE_ASSIGNMENT|[46]|scope|[{}]|0x7013d376
18:35:38.2 (23283144)|STATEMENT_EXECUTE|[46]
18:35:38.2 (23284662)|STATEMENT_EXECUTE|[47]
18:35:38.2 (23285467)|STATEMENT_EXECUTE|[47]
18:35:38.2 (23286534)|STATEMENT_EXECUTE|[49]
18:35:38.2 (26913768)|VARIABLE_SCOPE_BEGIN|[8]|PORTERSDataService.BASE_URL|String|false|true
18:35:38.2 (26939461)|HEAP_ALLOCATE|[49]|Bytes:26
18:35:38.2 (26945725)|HEAP_ALLOCATE|[49]|Bytes:17
18:35:38.2 (26947604)|HEAP_ALLOCATE|[49]|Bytes:36
18:35:38.2 (26973154)|VARIABLE_ASSIGNMENT|[49]|PORTERSDataService.BASE_URL|"https://api-hrbc-jp. (16 more) ..."
18:35:38.2 (26990244)|METHOD_ENTRY|[7]|01pBK000001ZFgL|PORTERSDataService.PORTERSDataService()
18:35:38.2 (26994603)|STATEMENT_EXECUTE|[7]
18:35:38.2 (26998063)|STATEMENT_EXECUTE|[7]
18:35:38.2 (27024347)|HEAP_ALLOCATE|[68]|Bytes:5
18:35:38.2 (27048323)|HEAP_ALLOCATE|[74]|Bytes:5
18:35:38.2 (27054878)|HEAP_ALLOCATE|[82]|Bytes:7
18:35:38.2 (27444542)|HEAP_ALLOCATE|[49]|Bytes:5
18:35:38.2 (27450918)|STATEMENT_EXECUTE|[14]
18:35:38.2 (27451988)|STATEMENT_EXECUTE|[218]
18:35:38.2 (27463164)|METHOD_EXIT|[7]|PORTERSDataService
18:35:38.2 (27507049)|METHOD_ENTRY|[49]|01pBK000001ZFgL|PORTERSDataService.getCandidatesSince(Integer, Datetime)
18:35:38.2 (27786716)|VARIABLE_SCOPE_BEGIN|[86]|maxRecords|Integer|false|false
18:35:38.2 (27795830)|VARIABLE_ASSIGNMENT|[86]|maxRecords|null
18:35:38.2 (27803891)|VARIABLE_SCOPE_BEGIN|[86]|lastSyncTime|Datetime|false|false
18:35:38.2 (27807687)|VARIABLE_ASSIGNMENT|[86]|lastSyncTime|null
18:35:38.2 (27816946)|HEAP_ALLOCATE|[87]|Bytes:5
18:35:38.2 (27819873)|STATEMENT_EXECUTE|[86]
18:35:38.2 (27820851)|STATEMENT_EXECUTE|[87]
18:35:38.2 (27825353)|VARIABLE_SCOPE_BEGIN|[87]|partitionId|Integer|false|false
18:35:38.2 (27830069)|HEAP_ALLOCATE|[87]|Bytes:4
18:35:38.2 (27834865)|VARIABLE_ASSIGNMENT|[87]|partitionId|2012
18:35:38.2 (27836909)|STATEMENT_EXECUTE|[88]
18:35:38.2 (27839258)|HEAP_ALLOCATE|[88]|Bytes:181
18:35:38.2 (27842262)|VARIABLE_SCOPE_BEGIN|[88]|fields|String|false|false
18:35:38.2 (27849845)|VARIABLE_ASSIGNMENT|[88]|fields|"Person.P_Id,Person.P (161 more) ..."
18:35:38.2 (27851818)|STATEMENT_EXECUTE|[89]
18:35:38.2 (27853257)|VARIABLE_SCOPE_BEGIN|[89]|condition|String|false|false
18:35:38.2 (27857699)|VARIABLE_ASSIGNMENT|[89]|condition|""
18:35:38.2 (27860065)|STATEMENT_EXECUTE|[90]
18:35:38.2 (27860907)|STATEMENT_EXECUTE|[95]
18:35:38.2 (27873284)|METHOD_ENTRY|[95]|01pBK000001ZFgL|PORTERSDataService.getCandidatesInternal(Integer, String, String, Integer)
18:35:38.2 (27896840)|VARIABLE_SCOPE_BEGIN|[106]|partitionId|Integer|false|false
18:35:38.2 (27900913)|VARIABLE_ASSIGNMENT|[106]|partitionId|2012
18:35:38.2 (27903056)|VARIABLE_SCOPE_BEGIN|[106]|fields|String|false|false
18:35:38.2 (27907265)|VARIABLE_ASSIGNMENT|[106]|fields|"Person.P_Id,Person.P (161 more) ..."
18:35:38.2 (27909175)|VARIABLE_SCOPE_BEGIN|[106]|condition|String|false|false
18:35:38.2 (27912723)|VARIABLE_ASSIGNMENT|[106]|condition|""
18:35:38.2 (27914689)|VARIABLE_SCOPE_BEGIN|[106]|maxRecords|Integer|false|false
18:35:38.2 (27917926)|VARIABLE_ASSIGNMENT|[106]|maxRecords|null
18:35:38.2 (27922259)|HEAP_ALLOCATE|[107]|Bytes:5
18:35:38.2 (27924262)|STATEMENT_EXECUTE|[106]
18:35:38.2 (27925356)|STATEMENT_EXECUTE|[107]
18:35:38.2 (27934988)|HEAP_ALLOCATE|[107]|Bytes:4
18:35:38.2 (28024916)|VARIABLE_SCOPE_BEGIN|[107]|allCandidates|List<PORTERSDataService.Candidate>|true|false
18:35:38.2 (28047159)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28055495)|VARIABLE_ASSIGNMENT|[107]|allCandidates|[]|0x7667b822
18:35:38.2 (28058432)|STATEMENT_EXECUTE|[108]
18:35:38.2 (28060371)|VARIABLE_SCOPE_BEGIN|[108]|start|Integer|false|false
18:35:38.2 (28063672)|HEAP_ALLOCATE|[108]|Bytes:4
18:35:38.2 (28066704)|VARIABLE_ASSIGNMENT|[108]|start|0
18:35:38.2 (28068749)|STATEMENT_EXECUTE|[109]
18:35:38.2 (28070135)|VARIABLE_SCOPE_BEGIN|[109]|pageSize|Integer|false|false
18:35:38.2 (28073526)|HEAP_ALLOCATE|[109]|Bytes:4
18:35:38.2 (28075960)|VARIABLE_ASSIGNMENT|[109]|pageSize|200
18:35:38.2 (28077949)|STATEMENT_EXECUTE|[110]
18:35:38.2 (28080977)|VARIABLE_SCOPE_BEGIN|[110]|hasMore|Boolean|false|false
18:35:38.2 (28085075)|HEAP_ALLOCATE|[110]|Bytes:5
18:35:38.2 (28088385)|VARIABLE_ASSIGNMENT|[110]|hasMore|true
18:35:38.2 (28093587)|STATEMENT_EXECUTE|[112]
18:35:38.2 (28094373)|STATEMENT_EXECUTE|[114]
18:35:38.2 (28106015)|HEAP_ALLOCATE|[114]|Bytes:4
18:35:38.2 (28114001)|HEAP_ALLOCATE|[115]|Bytes:9
18:35:38.2 (28151652)|HEAP_ALLOCATE|[115]|Bytes:4
18:35:38.2 (28189764)|HEAP_ALLOCATE|[116]|Bytes:5
18:35:38.2 (28197587)|HEAP_ALLOCATE|[116]|Bytes:3
18:35:38.2 (28204942)|HEAP_ALLOCATE|[117]|Bytes:5
18:35:38.2 (28211109)|HEAP_ALLOCATE|[117]|Bytes:1
18:35:38.2 (28218088)|HEAP_ALLOCATE|[118]|Bytes:5
18:35:38.2 (28222511)|HEAP_ALLOCATE|[119]|Bytes:9
18:35:38.2 (28224744)|HEAP_ALLOCATE|[119]|Bytes:8
18:35:38.2 (28229271)|VARIABLE_SCOPE_BEGIN|[114]|params|Map<String,String>|true|false
18:35:38.2 (28247398)|VARIABLE_ASSIGNMENT|[114]|params|{"partition":"2012","count":"200","start":"0","field":"Person.P_Id,Person.P (161 more) ...","itemstate":"existing"}|0x4a3f7929
18:35:38.2 (28263683)|STATEMENT_EXECUTE|[121]
18:35:38.2 (28264676)|STATEMENT_EXECUTE|[125]
18:35:38.2 (28269193)|HEAP_ALLOCATE|[125]|Bytes:14
18:35:38.2 (28275114)|METHOD_ENTRY|[125]|01pBK000001ZFgL|PORTERSDataService.buildQueryString(Map<String,String>)
18:35:38.2 (28281019)|VARIABLE_SCOPE_BEGIN|[163]|params|Map<String,String>|true|false
18:35:38.2 (28287354)|VARIABLE_ASSIGNMENT|[163]|params|{"partition":"2012","count":"200","start":"0","field":"Person.P_Id,Person.P (161 more) ...","itemstate":"existing"}|0x4a3f7929
18:35:38.2 (28293510)|HEAP_ALLOCATE|[164]|Bytes:5
18:35:38.2 (28295434)|STATEMENT_EXECUTE|[163]
18:35:38.2 (28296471)|STATEMENT_EXECUTE|[164]
18:35:38.2 (28300307)|HEAP_ALLOCATE|[164]|Bytes:4
18:35:38.2 (28311343)|VARIABLE_SCOPE_BEGIN|[164]|pairs|List<String>|true|false
18:35:38.2 (28325917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28329079)|VARIABLE_ASSIGNMENT|[164]|pairs|[]|0x6ffa05c4
18:35:38.2 (28357873)|HEAP_ALLOCATE|[165]|Bytes:57
18:35:38.2 (28417751)|HEAP_ALLOCATE|[165]|Bytes:5
18:35:38.2 (28431755)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:35:38.2 (28436810)|VARIABLE_ASSIGNMENT|[165]|key|"partition"
18:35:38.2 (28439116)|STATEMENT_EXECUTE|[165]
18:35:38.2 (28440099)|STATEMENT_EXECUTE|[166]
18:35:38.2 (28452156)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:35:38.2 (28456232)|VARIABLE_ASSIGNMENT|[166]|value|"2012"
18:35:38.2 (28466669)|STATEMENT_EXECUTE|[167]
18:35:38.2 (28467695)|STATEMENT_EXECUTE|[168]
18:35:38.2 (28469140)|HEAP_ALLOCATE|[168]|Bytes:1
18:35:38.2 (28471277)|HEAP_ALLOCATE|[168]|Bytes:5
18:35:38.2 (28487449)|HEAP_ALLOCATE|[168]|Bytes:15
18:35:38.2 (28494640)|SYSTEM_METHOD_ENTRY|[1]|EncodingUtil.EncodingUtil()
18:35:38.2 (28496492)|STATEMENT_EXECUTE|[1]
18:35:38.2 (28501048)|SYSTEM_METHOD_EXIT|[1]|EncodingUtil
18:35:38.2 (28508875)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28539379)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28546776)|HEAP_ALLOCATE|[168]|Bytes:14
18:35:38.2 (28555683)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28562097)|HEAP_ALLOCATE|[165]|Bytes:5
18:35:38.2 (28566943)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:35:38.2 (28571467)|VARIABLE_ASSIGNMENT|[165]|key|"count"
18:35:38.2 (28573419)|STATEMENT_EXECUTE|[165]
18:35:38.2 (28574230)|STATEMENT_EXECUTE|[166]
18:35:38.2 (28578801)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:35:38.2 (28582727)|VARIABLE_ASSIGNMENT|[166]|value|"200"
18:35:38.2 (28589940)|STATEMENT_EXECUTE|[167]
18:35:38.2 (28590764)|STATEMENT_EXECUTE|[168]
18:35:38.2 (28592913)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28602971)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28605248)|HEAP_ALLOCATE|[168]|Bytes:9
18:35:38.2 (28608574)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28613200)|HEAP_ALLOCATE|[165]|Bytes:5
18:35:38.2 (28616937)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:35:38.2 (28620872)|VARIABLE_ASSIGNMENT|[165]|key|"start"
18:35:38.2 (28622855)|STATEMENT_EXECUTE|[165]
18:35:38.2 (28623674)|STATEMENT_EXECUTE|[166]
18:35:38.2 (28627208)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:35:38.2 (28630862)|VARIABLE_ASSIGNMENT|[166]|value|"0"
18:35:38.2 (28637440)|STATEMENT_EXECUTE|[167]
18:35:38.2 (28638228)|STATEMENT_EXECUTE|[168]
18:35:38.2 (28639954)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28648534)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28650620)|HEAP_ALLOCATE|[168]|Bytes:7
18:35:38.2 (28653553)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28658031)|HEAP_ALLOCATE|[165]|Bytes:5
18:35:38.2 (28661543)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:35:38.2 (28665290)|VARIABLE_ASSIGNMENT|[165]|key|"field"
18:35:38.2 (28667136)|STATEMENT_EXECUTE|[165]
18:35:38.2 (28667937)|STATEMENT_EXECUTE|[166]
18:35:38.2 (28671484)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
18:35:38.2 (28675623)|VARIABLE_ASSIGNMENT|[166]|value|"Person.P_Id,Person.P (161 more) ..."
18:35:38.2 (28682163)|STATEMENT_EXECUTE|[167]
18:35:38.2 (28682979)|STATEMENT_EXECUTE|[168]
18:35:38.2 (28684670)|METHOD_ENTRY|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28697612)|METHOD_EXIT|[168]||System.EncodingUtil.urlEncode(String, String)
18:35:38.2 (28699646)|HEAP_ALLOCATE|[168]|Bytes:205
18:35:38.2 (28702649)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:35:38.2 (28707058)|HEAP_ALLOCATE|[165]|Bytes:5
18:35:38.2 (28710435)|VARIABLE_SCOPE_BEGIN|[165]|key|String|false|false
18:35:38.2 (28714333)|VARIABLE_ASSIGNMENT|[165]|key|"itemstate"
18:35:38.2 (28716237)|STATEMENT_EXECUTE|[165]
18:35:38.2 (28717030)|STATEMENT_EXECUTE|[166]
18:35:38.2 (28720474)|VARIABLE_SCOPE_BEGIN|[166]|value|String|false|false
