66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:19:31.0 (197207)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
15:19:31.0 (225475)|EXECUTION_STARTED
15:19:31.0 (246807)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getJobs
15:19:31.0 (739646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:31.0 (784675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:31.0 (797390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:19:31.0 (1511306)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getJobs(Map<String,ANY>)
15:19:31.0 (1701751)|HEAP_ALLOCATE|[95]|Bytes:3
15:19:31.0 (1739858)|HEAP_ALLOCATE|[100]|Bytes:152
15:19:31.0 (1753614)|HEAP_ALLOCATE|[417]|Bytes:408
15:19:31.0 (1764432)|HEAP_ALLOCATE|[430]|Bytes:408
15:19:31.0 (1784486)|HEAP_ALLOCATE|[317]|Bytes:6
15:19:31.0 (1824968)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:19:31.0 (1828066)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:19:31.0 (1829982)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:19:31.0 (1838495)|METHOD_ENTRY|[6]|01pBK000001SmE1|JobSearchController.JobSearchController()
15:19:31.0 (1843484)|STATEMENT_EXECUTE|[6]
15:19:31.0 (1848072)|STATEMENT_EXECUTE|[6]
15:19:31.0 (1864535)|HEAP_ALLOCATE|[68]|Bytes:5
15:19:31.0 (1885944)|HEAP_ALLOCATE|[74]|Bytes:5
15:19:31.0 (1890708)|HEAP_ALLOCATE|[82]|Bytes:7
15:19:31.0 (2036085)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:19:31.0 (2040397)|STATEMENT_EXECUTE|[11]
15:19:31.0 (2048594)|METHOD_EXIT|[6]|JobSearchController
15:19:31.0 (2069114)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
15:19:31.0 (2073479)|VARIABLE_SCOPE_BEGIN|[39]|filters|Map<String,ANY>|true|false
15:19:31.0 (2112439)|VARIABLE_ASSIGNMENT|[39]|filters|"Map of size 8 too large to display"|0x7c629cf9
15:19:31.0 (2122401)|HEAP_ALLOCATE|[41]|Bytes:5
15:19:31.0 (2124946)|STATEMENT_EXECUTE|[39]
15:19:31.0 (2125993)|STATEMENT_EXECUTE|[41]
15:19:31.0 (2152369)|HEAP_ALLOCATE|[41]|Bytes:4
15:19:31.0 (2192401)|VARIABLE_SCOPE_BEGIN|[41]|favoriteJobIds|Set<Id>|true|false
15:19:31.0 (2223296)|VARIABLE_ASSIGNMENT|[41]|favoriteJobIds|[]|0x4e8a1b10
15:19:31.0 (2241000)|HEAP_ALLOCATE|[42]|Bytes:105
15:19:31.0 (2246081)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
15:19:31.0 (2247940)|STATEMENT_EXECUTE|[1]
15:19:31.0 (2251939)|SYSTEM_METHOD_EXIT|[1]|UserInfo
15:19:31.0 (2259494)|METHOD_ENTRY|[42]||System.UserInfo.getUserId()
15:19:31.0 (6540742)|METHOD_EXIT|[42]||System.UserInfo.getUserId()
15:19:31.0 (6554332)|STATEMENT_EXECUTE|[42]
15:19:31.0 (6562363)|HEAP_ALLOCATE|[43]|Bytes:102
15:19:31.0 (6581850)|HEAP_ALLOCATE|[43]|Bytes:4
15:19:31.0 (6593495)|HEAP_ALLOCATE|[43]|Bytes:7
15:19:31.0 (6600506)|METHOD_ENTRY|[46]||System.UserInfo.getUserId()
15:19:31.0 (6627703)|METHOD_EXIT|[46]||System.UserInfo.getUserId()
15:19:31.0 (7306050)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT Job__c FROM InterestedJob__c WHERE (CreatedById = :tmpVar1 AND IsArchive__c = FALSE) LIMIT 1000
15:19:31.0 (11424005)|SOQL_EXECUTE_END|[43]|Rows:4
15:19:31.0 (11451540)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
15:19:31.0 (11624696)|HEAP_ALLOCATE|[43]|Bytes:54
15:19:31.0 (11631446)|HEAP_ALLOCATE|[43]|Bytes:8
15:19:31.0 (11641644)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
15:19:31.0 (11644910)|STATEMENT_EXECUTE|[7]
15:19:31.0 (11652609)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
15:19:31.0 (11658237)|HEAP_ALLOCATE|[43]|Bytes:28
15:19:31.0 (11722700)|HEAP_ALLOCATE|[43]|Bytes:20
15:19:31.0 (11731719)|HEAP_ALLOCATE|[43]|Bytes:8
15:19:31.0 (11733525)|HEAP_ALLOCATE|[43]|Bytes:8
15:19:31.0 (11737006)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
15:19:31.0 (11771680)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x68e8a1e2
15:19:31.0 (11775285)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
15:19:31.0 (11869927)|VARIABLE_ASSIGNMENT|[15]|values|[{"Job__c":"a0KBK00000Gexcs2AB","Id":"a0OBK000004najC2AQ"},{"Job__c":"a0KBK00000Gexdg2AB","Id":"a0OBK000004nbNV2AY"},{"Job__c":"a0KBK00000Gexcu2AB","Id":"a0OBK000004v8wE2AQ"},{"Job__c":"a0KBK00000GezgQ2AR","Id":"a0OBK0000050riz2AA"}]|0x5558ac4e
15:19:31.0 (11875508)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
15:19:31.0 (11891425)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Job__c FROM I (82 more) ..."}|0x14812dd6
15:19:31.0 (11894672)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
15:19:31.0 (11900559)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|4
15:19:31.0 (11902929)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
15:19:31.0 (11907074)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49996
15:19:31.0 (11998408)|HEAP_ALLOCATE|[43]|Bytes:28
15:19:31.0 (12016509)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.hasNext()
15:19:31.0 (12086060)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.hasNext()
15:19:31.0 (12091378)|METHOD_ENTRY|[43]||Database.QueryLocatorIterator.next()
15:19:31.0 (12138373)|METHOD_EXIT|[43]||Database.QueryLocatorIterator.next()
15:19:31.0 (12142996)|VARIABLE_SCOPE_BEGIN|[43]|fav|InterestedJob__c|true|false
