66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:49:40.2 (2281062)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
16:49:40.2 (2314880)|EXECUTION_STARTED
16:49:40.2 (2325261)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001lKfR|PORTERS_BATCH_ResumeData
16:49:40.2 (4933775)|HEAP_ALLOCATE|[95]|Bytes:3
16:49:40.2 (5020497)|HEAP_ALLOCATE|[100]|Bytes:152
16:49:40.2 (5035967)|HEAP_ALLOCATE|[417]|Bytes:408
16:49:40.2 (5046792)|HEAP_ALLOCATE|[430]|Bytes:408
16:49:40.2 (5067379)|HEAP_ALLOCATE|[317]|Bytes:6
16:49:40.2 (7198565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:80
16:49:40.2 (11960508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:49:40.2 (11989555)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:49:40.2 (11996218)|STATEMENT_EXECUTE|[15]
16:49:40.2 (12012850)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:49:40.2 (12020325)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:49:40.2 (12023760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:49:40.2 (12028012)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
16:49:40.2 (12090975)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x2149e595
16:49:40.2 (12095317)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
16:49:40.2 (12188397)|VARIABLE_ASSIGNMENT|[31]|jobId|"707BK00000wq09yYAA"
16:49:40.2 (12191754)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
16:49:40.2 (12198139)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
16:49:40.2 (20196863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:65
16:49:40.2 (20218174)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:49:40.2 (20232944)|METHOD_ENTRY|[1]|01pBK000001lKfR|PORTERS_BATCH_ResumeData.PORTERS_BATCH_ResumeData()
16:49:40.2 (20240772)|STATEMENT_EXECUTE|[1]
16:49:40.2 (20247592)|STATEMENT_EXECUTE|[1]
16:49:40.2 (20253892)|METHOD_EXIT|[1]|PORTERS_BATCH_ResumeData
16:49:40.2 (20258657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
16:49:40.2 (20261162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:49:40.2 (20283506)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:49:40.2 (20289110)|VARIABLE_SCOPE_BEGIN|[30]|this|PORTERS_BATCH_ResumeData|true|false
16:49:40.2 (20364117)|VARIABLE_ASSIGNMENT|[30]|this|{"lastSyncTime":"2026-04-02T06:15:55.000Z","pageSize":2000}|0x264d7dc9
16:49:40.2 (20368286)|VARIABLE_SCOPE_BEGIN|[30]|bc|Database.BatchableContext|true|false
16:49:40.2 (20428729)|VARIABLE_ASSIGNMENT|[30]|bc|{"jobId":"707BK00000wq09yYAA"}|0x2149e595
16:49:40.2 (20433029)|VARIABLE_SCOPE_BEGIN|[30]|scope|List<Integer>|true|false
16:49:40.2 (20444812)|VARIABLE_ASSIGNMENT|[30]|scope|[1]|0x52560015
16:49:40.2 (20455018)|STATEMENT_EXECUTE|[30]
16:49:40.2 (20456432)|STATEMENT_EXECUTE|[32]
16:49:40.2 (20606864)|HEAP_ALLOCATE|[33]|Bytes:4
16:49:40.2 (20702762)|VARIABLE_SCOPE_BEGIN|[32]|allRecords|List<IF_pts_resume__c>|true|false
16:49:40.2 (20713137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:49:40.2 (20721077)|VARIABLE_ASSIGNMENT|[32]|allRecords|[]|0x4688aab1
16:49:40.2 (21178966)|HEAP_ALLOCATE|[68]|Bytes:5
16:49:40.2 (21210102)|HEAP_ALLOCATE|[74]|Bytes:5
16:49:40.2 (21218063)|HEAP_ALLOCATE|[82]|Bytes:7
16:49:40.2 (21234866)|HEAP_ALLOCATE|[35]|Bytes:5
16:49:40.2 (21256046)|HEAP_ALLOCATE|[35]|Bytes:8
16:49:40.2 (21263315)|VARIABLE_SCOPE_BEGIN|[35]|page|Integer|false|false
16:49:40.2 (21272373)|VARIABLE_ASSIGNMENT|[35]|page|1
16:49:40.2 (21276286)|STATEMENT_EXECUTE|[35]
16:49:40.2 (21277504)|STATEMENT_EXECUTE|[36]
16:49:40.2 (21289413)|VARIABLE_SCOPE_BEGIN|[36]|start|Integer|false|false
16:49:40.2 (21293863)|HEAP_ALLOCATE|[36]|Bytes:4
16:49:40.2 (21296421)|VARIABLE_ASSIGNMENT|[36]|start|2000
16:49:40.2 (21298946)|STATEMENT_EXECUTE|[37]
16:49:40.2 (25425437)|VARIABLE_SCOPE_BEGIN|[5]|PORTERS_BATCH_GetResumeData.BASE_URL|String|false|true
16:49:40.2 (25441631)|VARIABLE_SCOPE_BEGIN|[3]|PORTERS_BATCH_GetResumeData.CLIENT_ID|String|false|true
16:49:40.2 (25446375)|VARIABLE_SCOPE_BEGIN|[4]|PORTERS_BATCH_GetResumeData.DEFAULT_TOKEN_EXPIRES_SEC|Integer|false|true
16:49:40.2 (25450434)|VARIABLE_SCOPE_BEGIN|[2]|PORTERS_BATCH_GetResumeData.TOKEN_ENDPOINT|String|false|true
16:49:40.2 (25466536)|HEAP_ALLOCATE|[38]|Bytes:16
16:49:40.2 (25474461)|HEAP_ALLOCATE|[38]|Bytes:22
16:49:40.2 (25476501)|HEAP_ALLOCATE|[38]|Bytes:36
16:49:40.2 (25494249)|VARIABLE_ASSIGNMENT|[38]|PORTERS_BATCH_GetResumeData.BASE_URL|"https://api-hrbc-jp. (16 more) ..."
16:49:40.2 (25498455)|HEAP_ALLOCATE|[38]|Bytes:32
16:49:40.2 (25502170)|VARIABLE_ASSIGNMENT|[38]|PORTERS_BATCH_GetResumeData.CLIENT_ID|"a8678131f29ea6faf1ca (12 more) ..."
16:49:40.2 (25505328)|HEAP_ALLOCATE|[38]|Bytes:45
