66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:18:18.0 (216587)|USER_INFO|[EXTERNAL]|0057F0000042UBb|ishibashi@hurex.co.jp.dev1|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:18:18.0 (259150)|EXECUTION_STARTED
18:18:18.0 (270490)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RegistrationInfoController/ACTION$updateRegistrationInfo
18:18:18.0 (11105148)|HEAP_ALLOCATE|[95]|Bytes:3
18:18:18.0 (11236209)|HEAP_ALLOCATE|[100]|Bytes:152
18:18:18.0 (11257407)|HEAP_ALLOCATE|[417]|Bytes:408
18:18:18.0 (11272773)|HEAP_ALLOCATE|[430]|Bytes:408
18:18:18.0 (11302203)|HEAP_ALLOCATE|[317]|Bytes:6
18:18:18.0 (11317597)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:432
18:18:18.0 (11324273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:51
18:18:18.0 (11348700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (11361567)|VARIABLE_SCOPE_BEGIN|[7]|this|RegistrationInfoController.RegistrationInfoWrapper|true|false
18:18:18.0 (11503891)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x9a4f2db
18:18:18.0 (11517646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
18:18:18.0 (16264908)|STATEMENT_EXECUTE|[7]
18:18:18.0 (16270042)|STATEMENT_EXECUTE|[8]
18:18:18.0 (16271712)|STATEMENT_EXECUTE|[9]
18:18:18.0 (16272806)|STATEMENT_EXECUTE|[10]
18:18:18.0 (16274192)|STATEMENT_EXECUTE|[11]
18:18:18.0 (16275206)|STATEMENT_EXECUTE|[12]
18:18:18.0 (16276361)|STATEMENT_EXECUTE|[13]
18:18:18.0 (16277561)|STATEMENT_EXECUTE|[14]
18:18:18.0 (16278766)|STATEMENT_EXECUTE|[15]
18:18:18.0 (16281232)|STATEMENT_EXECUTE|[16]
18:18:18.0 (16282264)|STATEMENT_EXECUTE|[17]
18:18:18.0 (16283245)|STATEMENT_EXECUTE|[18]
18:18:18.0 (16284173)|STATEMENT_EXECUTE|[19]
18:18:18.0 (16285470)|STATEMENT_EXECUTE|[20]
18:18:18.0 (16286546)|STATEMENT_EXECUTE|[21]
18:18:18.0 (16287548)|STATEMENT_EXECUTE|[22]
18:18:18.0 (16288653)|STATEMENT_EXECUTE|[23]
18:18:18.0 (16289725)|STATEMENT_EXECUTE|[24]
18:18:18.0 (16290672)|STATEMENT_EXECUTE|[25]
18:18:18.0 (16430720)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:18:18.0 (16443467)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16462900)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.lastName|"テスト 廣川111"|0x9a4f2db
18:18:18.0 (16480247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
18:18:18.0 (16483046)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16487685)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.companyCount|"7"|0x9a4f2db
18:18:18.0 (16496495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:18:18.0 (16498058)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16501871)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.birthdate|"2026-04-24"|0x9a4f2db
18:18:18.0 (16511454)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
18:18:18.0 (16515546)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16520606)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.address|"市区町村（都道府県以下の住所）213"|0x9a4f2db
18:18:18.0 (16530189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
18:18:18.0 (16533441)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16536779)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.education|"高専卒"|0x9a4f2db
18:18:18.0 (16542582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
18:18:18.0 (16543964)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16546584)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.gender|"女性"|0x9a4f2db
18:18:18.0 (16555220)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
18:18:18.0 (16557555)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16562152)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.prefecture|"宮城県"|0x9a4f2db
18:18:18.0 (16570995)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:18:18.0 (16572506)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16575541)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.postalCode|"123-4777"|0x9a4f2db
18:18:18.0 (16580667)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
18:18:18.0 (16582308)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16584845)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.employmentStatus|"離職中"|0x9a4f2db
18:18:18.0 (16590004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
18:18:18.0 (16591369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16594724)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.recordId|"001BK00000cc2ZEYAY"|0x9a4f2db
18:18:18.0 (16601215)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
18:18:18.0 (16603602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16607985)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.firstName|"名11111"|0x9a4f2db
18:18:18.0 (16616162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:18:18.0 (16618640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16623374)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.license|"免許・資格"|0x9a4f2db
18:18:18.0 (16631045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:18:18.0 (16633273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16637962)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.kanaSei|"ふりがな(姓)11"|0x9a4f2db
18:18:18.0 (16645623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:18:18.0 (16647721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16652095)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.kanaMei|"ふりがな(名)1111"|0x9a4f2db
18:18:18.0 (16660415)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:18:18.0 (16662488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16667349)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.phone|"5515"|0x9a4f2db
18:18:18.0 (16672961)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:18:18.0 (16674389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16677447)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.school|"学校名/学部名/学科"|0x9a4f2db
18:18:18.0 (16682566)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
18:18:18.0 (16683934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16686504)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.managementExperience|"あり"|0x9a4f2db
18:18:18.0 (16691663)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
18:18:18.0 (16692992)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (16696650)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.remarks|"その他11111111111"|0x9a4f2db
18:18:18.0 (19189226)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001mgyr|RegistrationInfoController.updateRegistrationInfo(RegistrationInfoController.RegistrationInfoWrapper)
18:18:18.0 (19353146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
18:18:18.0 (19364665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
18:18:18.0 (19367467)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:18:18.0 (19381391)|METHOD_ENTRY|[5]|01pBK000001mgyr|RegistrationInfoController.RegistrationInfoController()
18:18:18.0 (19386501)|STATEMENT_EXECUTE|[5]
18:18:18.0 (19393044)|STATEMENT_EXECUTE|[5]
18:18:18.0 (19426308)|HEAP_ALLOCATE|[68]|Bytes:5
18:18:18.0 (19468534)|HEAP_ALLOCATE|[74]|Bytes:5
18:18:18.0 (19475815)|HEAP_ALLOCATE|[82]|Bytes:7
18:18:18.0 (19506470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:18:18.0 (19508897)|STATEMENT_EXECUTE|[7]
18:18:18.0 (19517194)|METHOD_EXIT|[5]|RegistrationInfoController
18:18:18.0 (19521694)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:76
18:18:18.0 (19527426)|VARIABLE_SCOPE_BEGIN|[54]|wrapper|RegistrationInfoController.RegistrationInfoWrapper|true|false
