66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:17:27.1 (1725423)|USER_INFO|[EXTERNAL]|005BK00000Ilvi1|foryoze@owleyes.ch.hurex|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
10:17:27.1 (1824890)|EXECUTION_STARTED
10:17:27.1 (1851657)|CODE_UNIT_STARTED|[EXTERNAL]|apex://JobSearchController/ACTION$getFilterOptions
10:17:27.1 (2626954)|CODE_UNIT_STARTED|[EXTERNAL]|01pBK000001SmE1|JobSearchController.getFilterOptions()
10:17:27.1 (4866776)|HEAP_ALLOCATE|[95]|Bytes:3
10:17:27.1 (4990163)|HEAP_ALLOCATE|[100]|Bytes:152
10:17:27.1 (5005984)|HEAP_ALLOCATE|[417]|Bytes:408
10:17:27.1 (5017945)|HEAP_ALLOCATE|[430]|Bytes:408
10:17:27.1 (5039884)|HEAP_ALLOCATE|[317]|Bytes:6
10:17:27.1 (5050979)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:17:27.1 (5054337)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
10:17:27.1 (5080935)|METHOD_ENTRY|[5]|01pBK000001SmE1|JobSearchController.JobSearchController()
10:17:27.1 (5094995)|STATEMENT_EXECUTE|[5]
10:17:27.1 (5111390)|STATEMENT_EXECUTE|[5]
10:17:27.1 (5132246)|HEAP_ALLOCATE|[68]|Bytes:5
10:17:27.1 (5165239)|HEAP_ALLOCATE|[74]|Bytes:5
10:17:27.1 (5169909)|HEAP_ALLOCATE|[82]|Bytes:7
10:17:27.1 (5342950)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:17:27.1 (5348776)|STATEMENT_EXECUTE|[7]
10:17:27.1 (5363688)|METHOD_EXIT|[5]|JobSearchController
10:17:27.1 (5374654)|HEAP_ALLOCATE|[137]|Bytes:5
10:17:27.1 (5377171)|STATEMENT_EXECUTE|[136]
10:17:27.1 (5378389)|STATEMENT_EXECUTE|[137]
10:17:27.1 (5392735)|HEAP_ALLOCATE|[137]|Bytes:4
10:17:27.1 (5404428)|HEAP_ALLOCATE|[138]|Bytes:13
10:17:27.1 (5419813)|METHOD_ENTRY|[138]|01pBK000001SmE1|JobSearchController.getJobCategories()
10:17:27.1 (5474785)|HEAP_ALLOCATE|[147]|Bytes:5
10:17:27.1 (5477589)|STATEMENT_EXECUTE|[146]
10:17:27.1 (5478713)|STATEMENT_EXECUTE|[147]
10:17:27.1 (5490833)|HEAP_ALLOCATE|[147]|Bytes:4
10:17:27.1 (5548408)|VARIABLE_SCOPE_BEGIN|[147]|categories|List<Map<String,String>>|true|false
10:17:27.1 (5589431)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:17:27.1 (5653555)|VARIABLE_ASSIGNMENT|[147]|categories|[]|0x74b0d5d2
10:17:27.1 (5659102)|HEAP_ALLOCATE|[148]|Bytes:215
10:17:27.1 (5663805)|HEAP_ALLOCATE|[148]|Bytes:4
10:17:27.1 (8835932)|SOQL_EXECUTE_BEGIN|[148]|Aggregations:0|SELECT JobCategory1__c, JobCategoryDetail1__c FROM Job__c WHERE JobCategory1__c != NULL GROUP BY JobCategory1__c, JobCategoryDetail1__c ORDER BY JobCategory1__c ASC NULLS FIRST, JobCategoryDetail1__c ASC NULLS FIRST
10:17:27.1 (61412240)|SOQL_EXECUTE_END|[148]|Rows:51
10:17:27.1 (61469446)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:208
10:17:27.1 (61742701)|HEAP_ALLOCATE|[148]|Bytes:54
10:17:27.1 (61751924)|HEAP_ALLOCATE|[148]|Bytes:8
10:17:27.1 (61771766)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
10:17:27.1 (61775711)|STATEMENT_EXECUTE|[7]
10:17:27.1 (61792478)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
10:17:27.1 (61800556)|HEAP_ALLOCATE|[148]|Bytes:28
10:17:27.1 (61878054)|HEAP_ALLOCATE|[148]|Bytes:208
10:17:27.1 (61886878)|HEAP_ALLOCATE|[148]|Bytes:8
10:17:27.1 (61888722)|HEAP_ALLOCATE|[148]|Bytes:8
10:17:27.1 (61898643)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
10:17:27.1 (61967604)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x6f6fd4b3
10:17:27.1 (61971506)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
10:17:27.1 (62022293)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 51 too large to display"|0x71fb5842
10:17:27.1 (62026913)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
10:17:27.1 (62049230)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT JobCategory1_ (195 more) ..."}|0x19e26fd1
10:17:27.1 (62053575)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
10:17:27.1 (62059284)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|51
